created_at,user_followers_count,user_verified,total_tweets,follower_distribution
2020-11-02 17:15:00+00:00,32940,0,1.0,[32940]
2020-11-02 17:20:00+00:00,31270,0,1.0,[31270]
2020-11-02 17:25:00+00:00,32020,0,8.0,"[990, 1990, 420, 20810, 410, 4190, 3110, 100]"
2020-11-02 17:30:00+00:00,108000,0,13.0,"[15170, 2110, 470, 990, 2420, 32940, 1700, 1410, 2090, 1560, 32940, 6780, 7420]"
2020-11-02 17:35:00+00:00,91880,0,14.0,"[1560, 32940, 3410, 3410, 2440, 690, 32940, 4270, 1560, 600, 90, 3280, 1730, 2960]"
2020-11-02 17:40:00+00:00,49600,0,8.0,"[3780, 5600, 900, 580, 3050, 750, 930, 34010]"
2020-11-02 17:45:00+00:00,22530,0,7.0,"[3340, 1360, 40, 1630, 0, 470, 15690]"
2020-11-02 17:50:00+00:00,27720,0,8.0,"[7650, 9790, 7260, 1700, 400, 540, 190, 190]"
2020-11-02 17:55:00+00:00,22430,0,6.0,"[2760, 7540, 4020, 2050, 1000, 5060]"
2020-11-02 18:00:00+00:00,13700,0,8.0,"[3430, 700, 250, 1400, 3160, 830, 1120, 2810]"
2020-11-02 18:05:00+00:00,19720,0,7.0,"[3730, 1550, 7700, 130, 790, 5570, 250]"
2020-11-02 18:10:00+00:00,25090,0,6.0,"[3720, 4530, 10160, 3220, 10, 3450]"
2020-11-02 18:15:00+00:00,29390,0,6.0,"[880, 4520, 2550, 5580, 5620, 10240]"
2020-11-02 18:20:00+00:00,40430,0,9.0,"[620, 11470, 150, 2060, 3740, 6610, 7940, 1970, 5870]"
2020-11-02 18:25:00+00:00,7860,0,5.0,"[2270, 410, 2530, 2580, 70]"
2020-11-02 18:30:00+00:00,17630,0,3.0,"[5820, 4290, 7520]"
2020-11-02 18:35:00+00:00,30650,0,4.0,"[3840, 500, 7040, 19270]"
2020-11-02 18:40:00+00:00,4730,0,3.0,"[630, 1990, 2110]"
2020-11-02 18:45:00+00:00,21020,0,5.0,"[320, 2060, 7110, 3280, 8250]"
2020-11-02 18:50:00+00:00,44170,0,5.0,"[19170, 3600, 8000, 2290, 11110]"
2020-11-02 18:55:00+00:00,11130,0,4.0,"[5940, 3760, 810, 620]"
2020-11-02 19:00:00+00:00,17630,0,6.0,"[800, 3140, 2530, 770, 160, 10230]"
2020-11-02 19:05:00+00:00,8850,0,4.0,"[2200, 720, 5620, 310]"
2020-11-02 19:10:00+00:00,11310,0,2.0,"[370, 10940]"
2020-11-02 19:15:00+00:00,14930,0,2.0,"[3980, 10950]"
2020-11-02 19:20:00+00:00,4840,0,1.0,[4840]
2020-11-02 19:25:00+00:00,36580,0,8.0,"[3820, 5620, 10010, 2760, 1670, 470, 12060, 170]"
2020-11-02 19:30:00+00:00,2950,0,1.0,[2950]
2020-11-02 19:35:00+00:00,15490,0,2.0,"[13950, 1540]"
2020-11-02 19:40:00+00:00,6900,0,3.0,"[870, 2610, 3420]"
2020-11-02 19:45:00+00:00,0,0,0.0,[]
2020-11-02 19:50:00+00:00,9050,0,5.0,"[440, 3260, 4340, 40, 970]"
2020-11-02 19:55:00+00:00,8000,0,2.0,"[1420, 6580]"
2020-11-02 20:00:00+00:00,8970,0,3.0,"[2710, 5180, 1080]"
2020-11-02 20:05:00+00:00,0,0,0.0,[]
2020-11-02 20:10:00+00:00,0,0,0.0,[]
2020-11-02 20:15:00+00:00,320,0,1.0,[320]
2020-11-02 20:20:00+00:00,0,0,0.0,[]
2020-11-02 20:25:00+00:00,10180,0,1.0,[10180]
2020-11-02 20:30:00+00:00,10950,0,2.0,"[6590, 4360]"
2020-11-02 20:35:00+00:00,7100,0,2.0,"[220, 6880]"
2020-11-02 20:40:00+00:00,1190,0,1.0,[1190]
2020-11-02 20:45:00+00:00,4930,0,2.0,"[470, 4460]"
2020-11-02 20:50:00+00:00,0,0,0.0,[]
2020-11-02 20:55:00+00:00,300,0,1.0,[300]
2020-11-02 21:00:00+00:00,0,0,0.0,[]
2020-11-02 21:05:00+00:00,1470,0,2.0,"[410, 1060]"
2020-11-02 21:10:00+00:00,0,0,0.0,[]
2020-11-02 21:15:00+00:00,920,0,2.0,"[150, 770]"
2020-11-02 21:20:00+00:00,3500,0,3.0,"[20, 20, 3460]"
2020-11-02 21:25:00+00:00,0,0,0.0,[]
2020-11-02 21:30:00+00:00,0,0,0.0,[]
2020-11-02 21:35:00+00:00,44550,0,5.0,"[120, 6440, 32940, 3520, 1530]"
2020-11-02 21:40:00+00:00,5260,0,3.0,"[480, 2390, 2390]"
2020-11-02 21:45:00+00:00,5920,0,2.0,"[300, 5620]"
2020-11-02 21:50:00+00:00,0,0,0.0,[]
2020-11-02 21:55:00+00:00,0,0,0.0,[]
2020-11-02 22:00:00+00:00,0,0,0.0,[]
2020-11-02 22:05:00+00:00,560,0,1.0,[560]
2020-11-02 22:10:00+00:00,0,0,0.0,[]
2020-11-02 22:15:00+00:00,0,0,0.0,[]
2020-11-02 22:20:00+00:00,0,0,0.0,[]
2020-11-02 22:25:00+00:00,0,0,0.0,[]
2020-11-02 22:30:00+00:00,0,0,0.0,[]
2020-11-02 22:35:00+00:00,0,0,0.0,[]
2020-11-02 22:40:00+00:00,0,0,0.0,[]
2020-11-02 22:45:00+00:00,2330,0,1.0,[2330]
2020-11-02 22:50:00+00:00,370,0,1.0,[370]
2020-11-02 22:55:00+00:00,0,0,0.0,[]
2020-11-02 23:00:00+00:00,0,0,0.0,[]
2020-11-02 23:05:00+00:00,0,0,0.0,[]
2020-11-02 23:10:00+00:00,50,0,1.0,[50]
2020-11-02 23:15:00+00:00,80,0,1.0,[80]
2020-11-02 23:20:00+00:00,50,0,1.0,[50]
2020-11-02 23:25:00+00:00,3330,0,1.0,[3330]
2020-11-02 23:30:00+00:00,0,0,0.0,[]
2020-11-02 23:35:00+00:00,0,0,0.0,[]
2020-11-02 23:40:00+00:00,0,0,0.0,[]
2020-11-02 23:45:00+00:00,0,0,0.0,[]
2020-11-02 23:50:00+00:00,0,0,0.0,[]
2020-11-02 23:55:00+00:00,3660,0,1.0,[3660]
2020-11-03 00:00:00+00:00,4090,0,2.0,"[580, 3510]"
2020-11-03 00:05:00+00:00,0,0,0.0,[]
2020-11-03 00:10:00+00:00,0,0,0.0,[]
2020-11-03 00:15:00+00:00,0,0,0.0,[]
2020-11-03 00:20:00+00:00,0,0,0.0,[]
2020-11-03 00:25:00+00:00,1230,0,1.0,[1230]
2020-11-03 00:30:00+00:00,0,0,0.0,[]
2020-11-03 00:35:00+00:00,0,0,0.0,[]
2020-11-03 00:40:00+00:00,0,0,0.0,[]
2020-11-03 00:45:00+00:00,0,0,0.0,[]
2020-11-03 00:50:00+00:00,0,0,0.0,[]
2020-11-03 00:55:00+00:00,2890,0,1.0,[2890]
2020-11-03 01:00:00+00:00,0,0,0.0,[]
2020-11-03 01:05:00+00:00,0,0,0.0,[]
2020-11-03 01:10:00+00:00,12080,0,1.0,[12080]
2020-11-03 01:15:00+00:00,180,0,1.0,[180]
2020-11-03 01:20:00+00:00,0,0,0.0,[]
2020-11-03 01:25:00+00:00,0,0,0.0,[]
2020-11-03 01:30:00+00:00,7730,0,1.0,[7730]
2020-11-03 01:35:00+00:00,0,0,0.0,[]
2020-11-03 01:40:00+00:00,0,0,0.0,[]
2020-11-03 01:45:00+00:00,0,0,0.0,[]
2020-11-03 01:50:00+00:00,0,0,0.0,[]
2020-11-03 01:55:00+00:00,0,0,0.0,[]
2020-11-03 02:00:00+00:00,0,0,0.0,[]
2020-11-03 02:05:00+00:00,0,0,0.0,[]
2020-11-03 02:10:00+00:00,0,0,0.0,[]
2020-11-03 02:15:00+00:00,0,0,0.0,[]
2020-11-03 02:20:00+00:00,0,0,0.0,[]
2020-11-03 02:25:00+00:00,0,0,0.0,[]
2020-11-03 02:30:00+00:00,0,0,0.0,[]
2020-11-03 02:35:00+00:00,0,0,0.0,[]
2020-11-03 02:40:00+00:00,0,0,0.0,[]
2020-11-03 02:45:00+00:00,0,0,0.0,[]
2020-11-03 02:50:00+00:00,0,0,0.0,[]
2020-11-03 02:55:00+00:00,0,0,0.0,[]
2020-11-03 03:00:00+00:00,0,0,0.0,[]
2020-11-03 03:05:00+00:00,1260,0,1.0,[1260]
2020-11-03 03:10:00+00:00,10000,0,2.0,"[2470, 7530]"
2020-11-03 03:15:00+00:00,11980,0,2.0,"[9620, 2360]"
2020-11-03 03:20:00+00:00,0,0,0.0,[]
2020-11-03 03:25:00+00:00,0,0,0.0,[]
2020-11-03 03:30:00+00:00,90,0,1.0,[90]
2020-11-03 03:35:00+00:00,0,0,0.0,[]
2020-11-03 03:40:00+00:00,0,0,0.0,[]
2020-11-03 03:45:00+00:00,0,0,0.0,[]
2020-11-03 03:50:00+00:00,0,0,0.0,[]
2020-11-03 03:55:00+00:00,0,0,0.0,[]
2020-11-03 04:00:00+00:00,0,0,0.0,[]
2020-11-03 04:05:00+00:00,0,0,0.0,[]
2020-11-03 04:10:00+00:00,0,0,0.0,[]
