created_at,user_followers_count,user_verified,total_tweets,follower_distribution
2020-11-03 12:55:00+00:00,772020,0,15.0,"[251150, 251150, 251150, 3590, 3590, 3590, 10, 10, 10, 520, 520, 520, 2070, 2070, 2070]"
2020-11-03 13:00:00+00:00,928060,0,469.0,"[2240, 2240, 2240, 10, 10, 10, 1520, 4380, 1520, 4380, 1520, 4380, 10040, 10040, 10040, 10220, 10220, 10220, 310, 20, 310, 20, 20, 310, 190, 190, 190, 400, 400, 400, 730, 730, 730, 1150, 1150, 1150, 10550, 80, 80, 80, 10550, 10550, 3020, 3020, 3020, 1090, 1680, 1680, 1090, 1090, 1680, 100, 100, 100, 1340, 1340, 1340, 4020, 4020, 220, 4020, 220, 220, 1070, 1070, 1070, 10390, 10390, 10390, 30, 30, 30, 900, 320, 900, 320, 900, 320, 2440, 50, 2440, 50, 50, 2440, 7490, 7490, 7490, 170, 170, 170, 1470, 1470, 1470, 770, 770, 770, 2020, 2020, 2020, 880, 880, 880, 90, 2810, 2360, 2950, 2230, 2360, 2810, 2950, 2230, 90, 2360, 2810, 2230, 2950, 90, 70, 70, 70, 1280, 1280, 1280, 520, 520, 520, 4900, 4900, 4900, 830, 830, 830, 4860, 4860, 4860, 270, 620, 270, 620, 270, 620, 70, 70, 70, 190, 190, 190, 3980, 3980, 3980, 10, 10, 10, 20, 100, 20, 630, 20, 630, 630, 570, 1910, 570, 1910, 570, 1910, 2320, 2320, 2320, 3960, 3960, 3960, 210, 210, 210, 60, 60, 60, 450, 450, 450, 370, 370, 370, 960, 960, 960, 1850, 700, 700, 1850, 1850, 700, 1670, 360, 1670, 360, 1670, 360, 3080, 3080, 3080, 160, 160, 160, 1150, 1150, 1150, 430, 430, 1560, 1560, 430, 1560, 520, 520, 2090, 520, 2090, 2090, 260, 260, 260, 740, 740, 740, 690, 40, 690, 40, 40, 690, 130, 390, 130, 390, 130, 390, 170, 170, 170, 2160, 2160, 2160, 4900, 4900, 1840, 1840, 4900, 1840, 2660, 2660, 2660, 860, 860, 860, 490, 650, 490, 650, 650, 490, 7360, 7360, 7360, 5980, 5980, 60, 60, 60, 5980, 820, 820, 820, 40, 30, 30, 40, 30, 40, 80, 80, 80, 260, 260, 660, 660, 260, 660, 1830, 1830, 1830, 4020, 4020, 4020, 120, 120, 2820, 120, 2820, 2820, 3740, 3740, 3740, 650, 650, 650, 230, 8190, 230, 8190, 8190, 230, 30, 30, 30, 900, 900, 900, 910, 910, 910, 10, 230, 10, 230, 10, 230, 3300, 3300, 3300, 140, 40, 40, 140, 40, 140, 50, 2840, 50, 2840, 2840, 50, 1030, 1030, 1030, 1290, 180, 1290, 1290, 180, 180, 1150, 1150, 1150, 8480, 510, 8480, 510, 8480, 510, 3710, 3710, 3710, 40, 40, 40, 160, 160, 160, 8860, 8860, 8860, 700, 700, 700, 3020, 3020, 3020, 2310, 680, 680, 2310, 680, 2310, 690, 690, 690, 1130, 1130, 1130, 330, 240, 330, 240, 330, 240, 30, 45580, 3430, 45580, 3430, 30, 30, 45580, 3430, 740, 740, 740, 1110, 1110, 1110, 1850, 1850, 1850, 2220, 2220, 2220, 410, 410, 410, 2320, 2320, 2320, 290, 290, 290, 50, 50, 50, 40, 4530, 40, 4530, 40, 4530, 40, 7630, 7630, 40, 7630, 40, 1410, 1410, 1410, 870, 870, 870, 3260, 3260, 3260, 210, 210, 210, 30, 210, 2750, 2750, 30, 210, 210, 30, 2750, 50, 50, 50, 50, 50, 50]"
2020-11-03 13:05:00+00:00,1869080,0,526.0,"[940, 940, 940, 1940, 1940, 1940, 82990, 3540, 82990, 3540, 82990, 3540, 4110, 4110, 4110, 1620, 3200, 160, 1620, 1620, 3200, 160, 160, 3200, 40, 40, 40, 2850, 2790, 2850, 2790, 2850, 2790, 3480, 900, 900, 3480, 3480, 900, 5000, 8960, 8960, 5000, 8960, 5000, 120, 120, 120, 4220, 4220, 4220, 220, 80, 80, 220, 220, 80, 2320, 2320, 2320, 2090, 2090, 2090, 370, 370, 370, 90, 90, 90, 1530, 1530, 1530, 340, 340, 1790, 340, 1790, 1790, 4570, 4570, 4570, 20, 20, 20, 14000, 14000, 14000, 1330, 1330, 1330, 3730, 3730, 3730, 41520, 41520, 41520, 670, 150, 4550, 670, 670, 4550, 150, 4550, 150, 1030, 6070, 1030, 6070, 6070, 1030, 2040, 2040, 2040, 170, 170, 170, 320, 320, 320, 3650, 3650, 3650, 1990, 1990, 1990, 410, 4700, 4420, 4420, 4420, 4700, 410, 4700, 410, 2060, 2060, 2060, 1120, 1120, 1120, 6640, 6640, 6640, 70, 70, 70, 5060, 5060, 5060, 6150, 120, 130, 160, 160, 120, 130, 6150, 160, 6150, 120, 130, 4380, 13820, 13820, 13820, 4380, 4380, 280, 500, 280, 500, 500, 280, 6630, 130, 6630, 130, 130, 6630, 100, 100, 100, 28690, 28690, 28690, 2490, 2490, 2490, 130, 6410, 130, 6410, 130, 6410, 40, 40, 40, 3330, 3330, 3330, 2010, 2010, 2010, 160, 160, 160, 70, 70, 70, 1050, 1050, 1050, 1850, 1850, 3380, 1850, 3380, 3380, 270, 270, 270, 750, 750, 750, 130, 130, 130, 1570, 1570, 1570, 8850, 3380, 8850, 3380, 8850, 3380, 50, 2840, 2840, 50, 2840, 50, 4140, 4140, 4140, 1320, 560, 560, 1320, 560, 1320, 5600, 1280, 5600, 8690, 1280, 8690, 8690, 5600, 1280, 220, 220, 220, 31260, 31260, 31260, 2500, 2500, 2500, 11210, 11210, 11210, 4290, 4290, 4290, 220, 220, 220, 570, 570, 570, 250, 40, 40, 250, 250, 40, 3860, 3860, 3860, 170, 170, 170, 30, 340, 340, 30, 30, 340, 23160, 23160, 23160, 180, 180, 180, 230, 230, 230, 5830, 5830, 5830, 280, 10, 10, 280, 10, 280, 130, 130, 130, 730, 730, 730, 2920, 2920, 2920, 18150, 18150, 18150, 440, 440, 440, 1500, 1500, 1500, 320, 7090, 320, 7090, 320, 7090, 530, 530, 530, 2000, 1330, 2000, 1330, 2000, 1330, 20, 20, 20, 110, 4200, 110, 4200, 4200, 110, 2230, 2230, 2230, 810, 3040, 3040, 810, 810, 3040, 40, 10, 40, 10, 40, 10, 1500, 1500, 3850, 3850, 1500, 3850, 180, 180, 180, 2140, 2140, 2140, 29220, 29220, 29220, 320, 320, 320, 2100, 2100, 2100, 110, 90, 270, 90, 270, 110, 90, 270, 110, 7290, 7290, 7290, 400, 400, 400, 3700, 3700, 3700, 4600, 4600, 4600, 30, 30, 30, 8240, 8240, 8240, 3330, 1680, 3330, 1680, 3330, 1680, 360, 360, 360, 4360, 2520, 4360, 2520, 2520, 4360, 1940, 1940, 1940, 1640, 1640, 1640, 2120, 2120, 2120, 240, 5550, 5550, 240, 5550, 240, 40, 40, 40, 950, 950, 270, 1290, 270, 270, 1290, 1290, 950, 640, 640, 580, 580, 640, 580, 170, 170, 170, 80, 1440, 370, 1440, 370, 1440, 2450, 20, 2450, 20, 370, 20, 2450, 2280, 2280, 2280, 1360, 4010, 1360, 4010, 1360, 4010, 520, 520, 520, 2230, 2230, 2230, 10, 220, 10, 220, 220, 10, 5360, 5360, 5360, 7020, 700, 7020, 700, 700, 7020, 3980, 3980, 3980, 120, 120, 120, 1520, 1520, 1520]"
2020-11-03 13:10:00+00:00,1088240,0,536.0,"[40, 40, 40, 640, 640, 640, 2400, 1620, 1620, 1620, 2400, 1700, 1700, 1700, 2400, 130, 130, 130, 960, 960, 960, 430, 430, 430, 740, 740, 740, 2260, 2260, 2260, 330, 330, 330, 12550, 3880, 3880, 12550, 3880, 12550, 170, 170, 170, 2660, 1030, 2660, 1030, 2660, 1030, 380, 2580, 380, 2580, 2580, 380, 6640, 6640, 6640, 200, 200, 200, 1160, 1160, 1160, 6020, 6020, 6020, 20, 20, 20, 3370, 17540, 3370, 17540, 3370, 17540, 4540, 4540, 4540, 180, 2770, 2770, 180, 2770, 180, 30, 230, 30, 230, 230, 30, 120, 120, 120, 120, 120, 120, 70, 70, 70, 140, 140, 140, 740, 410, 410, 740, 740, 410, 2040, 2040, 2040, 390, 310, 390, 310, 310, 390, 30, 30, 390, 390, 30, 390, 2670, 2670, 2670, 140, 140, 70, 7020, 70, 7020, 70, 140, 7020, 1580, 14000, 14000, 14000, 510, 510, 510, 1540, 1640, 1640, 1540, 1540, 1640, 1910, 420, 1910, 420, 420, 1910, 510, 510, 510, 980, 980, 980, 2750, 2620, 2620, 2750, 2620, 2750, 560, 560, 560, 780, 1540, 2370, 1540, 2370, 780, 780, 1540, 2370, 10, 10, 10, 200, 200, 200, 380, 380, 380, 420, 420, 420, 10, 10, 10, 6060, 6060, 6060, 2550, 2550, 2550, 810, 810, 810, 8930, 40, 8930, 40, 8930, 40, 120, 120, 120, 290, 120, 960, 960, 120, 290, 120, 960, 290, 4140, 4140, 4140, 490, 490, 490, 50, 50, 50, 20, 20, 20, 1840, 1840, 1840, 1120, 1120, 1120, 2090, 2090, 2090, 300, 300, 300, 2110, 2110, 2110, 1820, 1820, 1820, 80, 80, 80, 3820, 3820, 3820, 3450, 3450, 3450, 870, 870, 870, 1110, 1110, 1110, 5440, 5440, 260, 500, 2050, 260, 2050, 500, 260, 2050, 500, 230, 230, 230, 2920, 2920, 900, 900, 2920, 900, 830, 830, 830, 1450, 1450, 300, 300, 1450, 300, 8330, 8330, 8330, 40, 40, 40, 820, 820, 820, 3340, 3340, 3340, 420, 420, 420, 70, 1140, 70, 110, 1140, 70, 110, 1140, 5760, 1210, 5760, 1210, 5760, 1210, 910, 910, 910, 350, 350, 350, 760, 760, 760, 3580, 720, 1040, 3580, 720, 1040, 3580, 720, 1040, 150, 150, 150, 7530, 7530, 40, 2980, 2980, 40, 7530, 2980, 40, 1250, 1250, 1250, 500, 500, 500, 140, 220, 1480, 1480, 140, 220, 1480, 220, 140, 160, 160, 160, 1220, 3380, 1220, 3380, 1220, 3380, 15820, 15820, 15820, 240, 240, 240, 4660, 4660, 4660, 580, 580, 580, 1060, 1060, 1060, 360, 360, 360, 160, 160, 160, 11600, 11600, 11600, 550, 550, 550, 330, 330, 330, 8610, 2050, 2050, 8610, 2050, 8610, 490, 490, 490, 3540, 3540, 3540, 120, 560, 120, 560, 120, 560, 6700, 100, 1440, 6700, 1440, 100, 1440, 100, 6700, 620, 620, 620, 4940, 4940, 4940, 920, 5800, 5800, 920, 5800, 920, 440, 440, 440, 500, 500, 4560, 500, 4560, 4560, 390, 2690, 390, 2690, 2690, 390, 180, 180, 180, 2330, 2330, 2330, 4710, 4710, 4710, 840, 840, 840, 4390, 4390, 4390, 1850, 1850, 1850, 13610, 13610, 13610, 4400, 4400, 4400, 300, 300, 300, 1020, 660, 660, 660, 1020, 1020, 730, 240, 730, 240, 730, 240, 60, 60, 60, 8030, 8030, 8030, 0, 0, 0, 10, 10, 10, 40, 40, 40, 220, 220, 1970, 1970, 220, 1970, 4340, 4340, 4340, 300, 300, 300, 340, 340, 340, 2860, 2860, 2860, 80, 80, 80]"
2020-11-03 13:15:00+00:00,1123810,0,442.0,"[1590, 1590, 1590, 2230, 2230, 2230, 700, 700, 700, 30, 30, 30, 3420, 3420, 3420, 1770, 1770, 1770, 220, 220, 220, 1540, 1540, 1540, 950, 950, 950, 1110, 1110, 1110, 4880, 4880, 4880, 7580, 7580, 7580, 200, 200, 200, 1640, 1640, 1640, 250, 250, 250, 920, 920, 920, 120, 120, 120, 610, 2160, 3220, 2160, 3220, 3220, 2160, 4190, 4190, 4190, 230, 550, 230, 550, 230, 550, 640, 640, 640, 710, 710, 710, 620, 620, 620, 13540, 13540, 13540, 1710, 1710, 1710, 1510, 1510, 1510, 1220, 1220, 13110, 1220, 170, 90, 90, 170, 170, 90, 3290, 2140, 2140, 390, 3290, 390, 2140, 390, 3290, 1350, 1350, 1350, 12980, 12980, 12980, 100, 100, 100, 230, 230, 230, 100, 100, 100, 3040, 3040, 3040, 6130, 6130, 6130, 690, 690, 690, 660, 320, 320, 320, 20, 20, 1850, 1850, 20, 1850, 1860, 1860, 1860, 40, 2090, 40, 2090, 2090, 40, 550, 550, 550, 150, 150, 150, 1380, 1380, 1380, 50, 3070, 50, 3070, 3070, 50, 790, 790, 790, 1770, 1770, 1770, 340, 340, 340, 2380, 2380, 2380, 3400, 3400, 3400, 170, 170, 170, 3240, 3240, 3240, 150, 150, 150, 1280, 1280, 1280, 2310, 2310, 2310, 17530, 17530, 17530, 1770, 1770, 1770, 190, 190, 190, 2180, 2180, 2180, 3150, 3150, 3150, 59080, 59080, 59080, 1470, 1470, 1470, 50, 50, 50, 1450, 1450, 1450, 50, 50, 50, 140, 140, 140, 2140, 2140, 2140, 2800, 1860, 2800, 1860, 1860, 2800, 290, 240, 1980, 240, 1980, 290, 240, 290, 1980, 20, 20, 20, 1110, 1110, 1420, 1110, 1420, 1420, 250, 250, 250, 340, 60, 60, 340, 340, 60, 1940, 9650, 1940, 9650, 9650, 1940, 1330, 1330, 1330, 540, 540, 540, 30, 30, 30, 1300, 1300, 1300, 50, 1210, 1210, 50, 1210, 50, 1050, 1050, 1050, 160, 160, 160, 11080, 11080, 11080, 2530, 2530, 2530, 30, 860, 30, 30, 860, 860, 1880, 1880, 1880, 2800, 2800, 2800, 140, 150, 140, 140, 3840, 150, 3840, 150, 3840, 140, 140, 140, 4340, 4340, 4340, 780, 780, 780, 3400, 3400, 3400, 21160, 21160, 320, 320, 320, 21160, 60, 60, 60, 3070, 1840, 4950, 4950, 4950, 370, 370, 370, 400, 400, 400, 3390, 3390, 3390, 60, 60, 60, 4760, 4760, 760, 4760, 170, 170, 170, 170, 170, 170, 220, 220, 220, 90, 90, 90, 14210, 14210, 3930, 14210, 520, 380, 380, 520, 380, 520, 2720, 2720, 2720, 9610, 9610, 9610, 1080, 950, 1080, 950, 1080, 950, 950, 950, 950, 2980, 2980, 2980, 1400, 1400, 1400, 17460, 17460, 17460, 290, 290, 290, 100, 100, 100, 110, 110, 110, 110, 110, 110, 910, 910, 910, 80, 80, 80, 200, 200, 200, 1500, 1090, 1500, 1090, 1500, 1090, 5650, 5650, 5650, 530, 530, 530, 1500, 1500, 1500]"
2020-11-03 13:20:00+00:00,809370,0,432.0,"[1620, 1620, 1620, 560, 1750, 560, 1750, 1750, 560, 1360, 1360, 1360, 100, 100, 100, 1510, 1510, 1510, 2020, 2020, 2020, 120, 2660, 120, 2660, 2660, 120, 40, 40, 40, 320, 320, 320, 690, 690, 690, 2030, 2030, 2030, 430, 430, 430, 520, 520, 520, 15970, 15970, 15970, 4330, 4330, 4330, 3220, 3220, 3220, 510, 510, 510, 160, 160, 160, 70, 70, 70, 6290, 6290, 6290, 3100, 1320, 1320, 70, 3100, 70, 70, 3100, 1320, 680, 680, 680, 4380, 4380, 4380, 130, 130, 130, 20, 20, 20, 90, 90, 90, 100, 100, 100, 3530, 500, 3530, 500, 3530, 500, 12390, 12390, 12390, 5940, 5940, 5940, 7690, 7690, 7690, 210, 210, 210, 70, 70, 70, 940, 940, 940, 1440, 1440, 1440, 3990, 3990, 3990, 2250, 2250, 2250, 5790, 5790, 5790, 80, 9680, 80, 80, 9680, 9680, 1610, 1610, 1610, 40, 40, 800, 3330, 40, 800, 800, 3330, 3330, 1450, 1450, 1450, 1500, 1500, 1500, 0, 0, 640, 0, 640, 640, 2400, 2400, 2400, 260, 260, 260, 180, 180, 180, 80, 80, 80, 480, 480, 100, 100, 480, 100, 15700, 15700, 15700, 300, 440, 300, 440, 300, 440, 4110, 4110, 4110, 630, 640, 640, 640, 600, 600, 7190, 7190, 600, 7190, 11050, 11050, 11050, 1900, 1900, 1900, 760, 760, 760, 410, 410, 410, 1960, 1960, 1960, 6840, 6840, 6840, 80, 80, 80, 1360, 1360, 1360, 690, 690, 690, 2500, 2500, 5270, 5270, 2500, 5270, 1440, 100, 100, 1440, 100, 1440, 700, 700, 700, 1210, 90, 1210, 90, 700, 1210, 90, 1440, 1440, 1440, 10120, 10120, 10120, 310, 310, 310, 180, 180, 240, 240, 180, 240, 1450, 1450, 1450, 110, 110, 110, 70, 70, 70, 260, 260, 260, 1420, 4850, 1420, 4850, 1420, 4850, 2040, 2040, 2040, 470, 470, 470, 180, 180, 180, 740, 740, 740, 1670, 1670, 1670, 40, 560, 40, 560, 40, 560, 150, 150, 150, 3050, 1520, 1520, 1520, 2620, 2620, 2620, 300, 300, 300, 20, 20, 20, 220, 220, 220, 410, 410, 410, 20, 20, 20, 590, 590, 590, 6390, 6390, 6390, 440, 440, 440, 140, 140, 140, 490, 4600, 490, 4600, 490, 4600, 380, 380, 380, 360, 5300, 5300, 360, 5300, 360, 640, 640, 640, 120, 120, 120, 6390, 6390, 6390, 390, 390, 390, 1910, 1910, 1910, 1280, 40, 40, 1280, 40, 1280, 10, 10, 10, 100, 280, 280, 100, 280, 100, 30, 30, 30, 90, 90, 90, 90, 90, 90, 90, 90, 90, 250, 250, 250, 2200, 120, 2200, 120, 2200, 6700, 6700, 6700, 120, 1300, 1300, 1300, 2310, 2310, 2310, 180, 240, 180, 240, 240, 180, 90, 90, 90, 100, 100, 100, 470, 470, 470, 3930, 3930, 3930]"
2020-11-03 13:25:00+00:00,823670,0,345.0,"[2640, 2640, 2640, 580, 580, 580, 1490, 2620, 860, 860, 520, 520, 860, 2620, 520, 2620, 670, 670, 670, 15460, 15460, 15460, 900, 900, 900, 340, 340, 340, 1390, 500, 1390, 1390, 500, 500, 100, 250, 250, 100, 250, 100, 2430, 2220, 70, 2220, 70, 2220, 70, 560, 560, 560, 1120, 1120, 1120, 4860, 4860, 1030, 1030, 1030, 4860, 2620, 2620, 2620, 1530, 1530, 1530, 350, 350, 350, 930, 930, 930, 1520, 1520, 1520, 3170, 3170, 3170, 220, 220, 220, 260, 260, 260, 1190, 1190, 1190, 630, 630, 630, 650, 650, 650, 2600, 2600, 2600, 1760, 1760, 1760, 1120, 1120, 1120, 470, 470, 470, 300, 300, 300, 5690, 5690, 5690, 12030, 12030, 12030, 5960, 5960, 5960, 640, 640, 640, 2700, 2330, 2700, 2330, 2330, 2700, 180, 180, 180, 100, 100, 100, 530, 530, 530, 550, 550, 550, 40, 40, 40, 30, 30, 30, 490, 490, 490, 180, 180, 180, 1200, 1200, 1200, 3070, 3070, 3070, 7410, 7410, 7410, 1100, 1100, 1100, 7960, 7960, 7960, 1710, 180, 180, 180, 27630, 4220, 100, 27630, 4220, 100, 560, 560, 27630, 4220, 100, 560, 180, 180, 180, 5570, 130, 5570, 5570, 130, 130, 1090, 1090, 1090, 1530, 1530, 1530, 130, 130, 130, 1530, 11790, 1530, 11790, 11790, 1530, 280, 280, 280, 1360, 1360, 1360, 500, 500, 500, 2860, 2860, 2860, 960, 960, 960, 820, 820, 820, 4220, 4220, 4220, 3950, 80, 3950, 80, 80, 3950, 4370, 160, 4370, 160, 160, 4370, 610, 610, 610, 330, 330, 330, 890, 890, 890, 7630, 11540, 7630, 11540, 7630, 11540, 110, 110, 110, 970, 970, 970, 20, 20, 20, 730, 730, 730, 14600, 14600, 14600, 1220, 1220, 1220, 3740, 3740, 3740, 700, 700, 700, 190, 190, 190, 4340, 4340, 4340, 4830, 4830, 4830, 3900, 3900, 3900, 1640, 1640, 1640, 850, 850, 850, 170, 170, 170, 2220, 2220, 2220, 9410, 9410, 9410, 590, 590, 590, 300, 300, 300, 340, 340, 340, 8090, 8090, 8090, 100, 100, 100, 220, 220, 220, 1620, 1620, 1620, 2770, 2770, 2770, 1730, 1730, 1730, 1500, 350, 1500, 350, 350, 1500, 1420, 1420, 1420, 250, 250, 250, 360, 360, 360]"
2020-11-03 13:30:00+00:00,776440,0,325.0,"[5300, 5300, 5300, 110, 110, 110, 360, 360, 360, 6350, 6350, 6350, 140, 140, 140, 1890, 1890, 1890, 300, 300, 3320, 3320, 300, 3320, 750, 750, 750, 4990, 4990, 4990, 70, 70, 70, 70, 70, 70, 2050, 2050, 2050, 60, 60, 60, 240, 240, 240, 250, 120, 250, 250, 120, 120, 2850, 170, 2850, 170, 170, 2850, 2770, 2770, 2770, 120, 120, 120, 120, 120, 120, 440, 440, 440, 4890, 4890, 4890, 1950, 1950, 1950, 430, 430, 430, 3880, 3880, 3880, 220, 220, 220, 5190, 170, 5190, 170, 170, 5190, 10, 10, 10, 48740, 48740, 48740, 63830, 120, 63830, 120, 63830, 120, 120, 120, 180, 2320, 120, 180, 2320, 180, 2320, 140, 140, 140, 3320, 3320, 3320, 220, 220, 220, 930, 930, 930, 770, 770, 770, 460, 460, 460, 100, 700, 700, 100, 100, 700, 3050, 3050, 3050, 170, 170, 170, 1300, 1300, 1300, 3920, 3920, 3920, 9190, 420, 9190, 420, 420, 9190, 950, 950, 950, 90, 90, 90, 2160, 2160, 100, 2160, 100, 100, 410, 410, 410, 380, 380, 380, 200, 200, 200, 570, 570, 570, 30, 30, 30, 1100, 1100, 1100, 1520, 1520, 1520, 590, 590, 80, 80, 80, 590, 10, 10, 10, 1220, 1220, 1220, 1840, 1840, 1840, 850, 10, 850, 850, 10, 10, 250, 140, 250, 140, 250, 140, 850, 850, 850, 30, 30, 30, 50, 50, 20, 50, 20, 20, 7940, 7940, 7940, 1870, 1870, 1870, 50, 50, 210, 210, 210, 50, 20, 20, 20, 450, 450, 450, 4230, 4230, 4230, 4310, 4310, 4310, 1200, 1200, 1200, 620, 2280, 2280, 2280, 620, 220, 620, 5990, 5990, 290, 290, 290, 5990, 70, 70, 70, 3610, 3610, 3610, 1840, 1840, 1840, 150, 150, 150, 1100, 1100, 1100, 1220, 1220, 1220, 20, 20, 20, 1260, 1260, 1260, 30, 500, 30, 500, 500, 30, 100, 4050, 100, 100, 4050, 4050, 340, 3780, 1020, 340, 3780, 10, 1020, 1020, 10, 3780, 340, 10, 2360, 2360, 2360, 3430, 3430, 3430, 610, 610, 610, 750, 750, 750]"
2020-11-03 13:35:00+00:00,1240800,3,291.0,"[12920, 12920, 12920, 60, 60, 60, 110, 110, 110, 440, 440, 440, 120, 120, 120, 550, 550, 550, 1600, 120, 120, 1600, 120, 1600, 150, 150, 150, 500, 500, 500, 1690, 1970, 1690, 1970, 1690, 1970, 700, 700, 700, 520, 520, 520, 170, 170, 170, 1240, 1240, 1240, 2260, 2260, 2260, 30, 30, 30, 5220, 5220, 5220, 590, 590, 590, 540, 540, 540, 3130, 3130, 3130, 4400, 4400, 4400, 20, 20, 20, 20420, 20420, 20420, 11670, 11670, 11670, 150, 150, 150, 2390, 2390, 2390, 180, 180, 180, 640, 640, 640, 1610, 230, 1610, 230, 230, 1610, 160, 160, 160, 460, 460, 460, 1200, 1200, 1200, 5660, 90, 5660, 90, 5660, 90, 4520, 4520, 4520, 770, 770, 770, 2880, 4260, 4260, 2880, 4260, 2880, 420, 420, 420, 360, 360, 360, 210, 190, 210, 210, 190, 2100, 2100, 190, 2100, 270, 70, 270, 70, 270, 70, 1380, 1380, 1380, 460, 30, 460, 30, 30, 460, 1200, 1200, 1200, 0, 0, 0, 100, 100, 100, 510, 510, 510, 410, 410, 410, 16360, 16360, 16360, 70, 70, 70, 7680, 7680, 7680, 11240, 11240, 11240, 160, 160, 160, 60, 60, 60, 1060, 1060, 1060, 470, 880, 880, 880, 470, 470, 540, 540, 540, 30, 30, 30, 70, 70, 70, 1280, 320, 1280, 1280, 320, 320, 2950, 2950, 2950, 1380, 1380, 1380, 1690, 180, 1690, 180, 1690, 180, 2960, 2960, 2960, 10, 10, 10, 2240, 2240, 2240, 1620, 1620, 1620, 640, 640, 640, 2470, 2470, 2470, 1600, 1600, 1600, 780, 780, 780, 4000, 4000, 4000, 1400, 1400, 1400, 3700, 3700, 3700, 7640, 7640, 7640, 18910, 18910, 18910, 3150, 3150, 3150, 710, 710, 710, 15040, 15040, 15040, 200, 200, 200, 50, 50, 50, 80, 80, 80, 660, 660, 660, 460, 460, 460, 3140, 3140, 3140]"
2020-11-03 13:40:00+00:00,701650,0,272.0,"[5270, 120, 5270, 120, 120, 5270, 21770, 21770, 21770, 2850, 2850, 2850, 910, 910, 910, 330, 330, 330, 70, 70, 70, 10, 10, 10, 4070, 4070, 4070, 590, 590, 590, 630, 630, 630, 410, 410, 410, 620, 620, 620, 420, 420, 420, 420, 420, 420, 370, 370, 1120, 1120, 370, 190, 190, 190, 6330, 6330, 6330, 1570, 1570, 1570, 2160, 2160, 2160, 1990, 1990, 1990, 750, 750, 750, 1360, 1360, 1360, 60, 60, 60, 1660, 1660, 1660, 3510, 3510, 3510, 940, 940, 940, 4520, 2170, 4520, 2170, 4520, 2170, 390, 2240, 390, 390, 250, 590, 250, 590, 590, 250, 2080, 2080, 2080, 640, 640, 640, 5880, 5880, 5880, 1150, 1150, 1150, 550, 550, 550, 11590, 11590, 11590, 4750, 4750, 4750, 1390, 1390, 1390, 160, 160, 160, 40, 40, 40, 610, 610, 610, 7280, 7280, 7280, 2410, 2410, 2410, 40, 1180, 40, 1180, 40, 1180, 740, 740, 740, 40, 40, 40, 1020, 1020, 1020, 290, 290, 290, 2830, 2830, 2830, 60, 60, 60, 400, 400, 400, 1220, 570, 1220, 570, 1220, 570, 40, 40, 40, 5040, 5040, 80, 80, 80, 110, 110, 110, 10, 10, 10, 70, 70, 70, 3290, 3290, 3290, 1120, 1120, 1120, 61670, 61670, 61670, 70, 70, 70, 470, 470, 470, 110, 110, 110, 2900, 2900, 2900, 130, 130, 130, 210, 210, 210, 240, 240, 240, 90, 90, 90, 1460, 1460, 1460, 1200, 1200, 1200, 610, 610, 610, 11270, 11270, 11270, 20, 20, 20, 490, 490, 490, 80, 80, 80, 5290, 5290, 5290, 20, 20, 20, 11750, 11750, 11750, 6340, 6340, 6340, 550, 550, 550, 1630, 1630, 1630, 100, 100, 100, 2060, 1110, 2060, 220, 2060, 220, 1110, 220, 1110]"
