created_at,user_followers_count,user_verified,total_tweets,follower_distribution
2020-11-04 02:35:00+00:00,90,0,1.0,[90]
2020-11-04 02:40:00+00:00,2670,0,1.0,[2670]
2020-11-04 02:45:00+00:00,80,0,1.0,[80]
2020-11-04 02:50:00+00:00,0,0,0.0,[]
2020-11-04 02:55:00+00:00,0,0,0.0,[]
2020-11-04 03:00:00+00:00,0,0,0.0,[]
2020-11-04 03:05:00+00:00,0,0,0.0,[]
2020-11-04 03:10:00+00:00,0,0,0.0,[]
2020-11-04 03:15:00+00:00,0,0,0.0,[]
2020-11-04 03:20:00+00:00,171290,0,58.0,"[55500, 50, 2330, 1860, 50, 13510, 5180, 1400, 2770, 1370, 200, 2200, 1830, 280, 1180, 740, 22180, 1200, 160, 3040, 3280, 1250, 10, 170, 610, 2940, 1710, 220, 840, 1400, 130, 1390, 1090, 1340, 80, 650, 10, 10, 4810, 670, 3660, 2060, 1640, 2300, 9810, 3170, 410, 1520, 2260, 50, 500, 920, 110, 350, 660, 1680, 420, 130]"
2020-11-04 03:25:00+00:00,158440,0,89.0,"[1990, 70, 60, 1070, 1250, 320, 560, 1450, 140, 1190, 2040, 1140, 160, 1540, 120, 3440, 4190, 680, 1900, 40, 3550, 3230, 1080, 140, 100, 1250, 540, 50, 80, 50, 750, 830, 1240, 70, 1760, 2620, 2910, 530, 3110, 2860, 360, 200, 29130, 1350, 210, 100, 10080, 1730, 470, 60, 0, 1150, 2370, 2980, 790, 3020, 2450, 410, 2570, 2090, 200, 620, 650, 2960, 370, 80, 1150, 2410, 90, 5690, 460, 310, 1070, 13070, 430, 400, 250, 2530, 3300, 1850, 1530, 420, 20, 1480, 1050, 60, 1470, 1520, 1380]"
2020-11-04 03:30:00+00:00,81390,0,49.0,"[530, 250, 1500, 1680, 420, 5240, 2080, 70, 5060, 140, 170, 1470, 2050, 780, 780, 3540, 1280, 620, 3210, 4440, 1260, 160, 70, 80, 3870, 300, 1330, 130, 260, 1610, 2010, 2000, 3160, 2160, 420, 2060, 1520, 10, 5320, 190, 90, 10270, 680, 20, 2310, 250, 520, 2040, 1980]"
2020-11-04 03:35:00+00:00,66210,0,27.0,"[870, 1270, 880, 440, 6910, 1090, 860, 840, 250, 4310, 20, 560, 180, 40, 4080, 1270, 30, 16730, 420, 340, 890, 2950, 100, 490, 660, 450, 19280]"
2020-11-04 03:40:00+00:00,29730,0,15.0,"[240, 410, 100, 3050, 30, 390, 20360, 40, 660, 230, 3290, 20, 120, 110, 680]"
2020-11-04 03:45:00+00:00,14250,0,13.0,"[240, 2890, 880, 450, 350, 560, 20, 580, 30, 4180, 2220, 70, 1780]"
2020-11-04 03:50:00+00:00,29320,0,9.0,"[5560, 1160, 5510, 1780, 1760, 170, 20, 4240, 9120]"
2020-11-04 03:55:00+00:00,12140,0,4.0,"[120, 1490, 50, 10480]"
2020-11-04 04:00:00+00:00,24240,0,7.0,"[630, 8500, 60, 250, 10130, 3240, 1430]"
2020-11-04 04:05:00+00:00,1200,0,2.0,"[1150, 50]"
2020-11-04 04:10:00+00:00,9710,0,4.0,"[1850, 7590, 10, 260]"
2020-11-04 04:15:00+00:00,260,0,1.0,[260]
2020-11-04 04:20:00+00:00,34850,0,7.0,"[8430, 90, 3500, 1470, 20980, 220, 160]"
2020-11-04 04:25:00+00:00,7730,0,2.0,"[210, 7520]"
2020-11-04 04:30:00+00:00,2020,0,1.0,[2020]
2020-11-04 04:35:00+00:00,69000,0,5.0,"[57740, 6990, 1870, 1790, 610]"
2020-11-04 04:40:00+00:00,16310,0,6.0,"[1560, 6720, 710, 240, 1190, 5890]"
2020-11-04 04:45:00+00:00,14480,0,6.0,"[120, 920, 5080, 650, 4990, 2720]"
2020-11-04 04:50:00+00:00,520,0,2.0,"[180, 340]"
2020-11-04 04:55:00+00:00,580,0,1.0,[580]
2020-11-04 05:00:00+00:00,0,0,0.0,[]
2020-11-04 05:05:00+00:00,0,0,0.0,[]
2020-11-04 05:10:00+00:00,1860,0,1.0,[1860]
2020-11-04 05:15:00+00:00,4600,0,2.0,"[3730, 870]"
2020-11-04 05:20:00+00:00,760,0,1.0,[760]
2020-11-04 05:25:00+00:00,0,0,0.0,[]
2020-11-04 05:30:00+00:00,13260,0,2.0,"[11030, 2230]"
2020-11-04 05:35:00+00:00,7620,0,2.0,"[3640, 3980]"
2020-11-04 05:40:00+00:00,4400,0,1.0,[4400]
2020-11-04 05:45:00+00:00,0,0,0.0,[]
2020-11-04 05:50:00+00:00,0,0,0.0,[]
2020-11-04 05:55:00+00:00,0,0,0.0,[]
2020-11-04 06:00:00+00:00,0,0,0.0,[]
2020-11-04 06:05:00+00:00,0,0,0.0,[]
2020-11-04 06:10:00+00:00,0,0,0.0,[]
2020-11-04 06:15:00+00:00,0,0,0.0,[]
2020-11-04 06:20:00+00:00,0,0,0.0,[]
2020-11-04 06:25:00+00:00,0,0,0.0,[]
2020-11-04 06:30:00+00:00,0,0,0.0,[]
2020-11-04 06:35:00+00:00,0,0,0.0,[]
2020-11-04 06:40:00+00:00,0,0,0.0,[]
2020-11-04 06:45:00+00:00,0,0,0.0,[]
2020-11-04 06:50:00+00:00,0,0,0.0,[]
2020-11-04 06:55:00+00:00,0,0,0.0,[]
2020-11-04 07:00:00+00:00,0,0,0.0,[]
2020-11-04 07:05:00+00:00,0,0,0.0,[]
2020-11-04 07:10:00+00:00,0,0,0.0,[]
2020-11-04 07:15:00+00:00,3020,0,1.0,[3020]
2020-11-04 07:20:00+00:00,0,0,0.0,[]
2020-11-04 07:25:00+00:00,0,0,0.0,[]
2020-11-04 07:30:00+00:00,0,0,0.0,[]
2020-11-04 07:35:00+00:00,0,0,0.0,[]
2020-11-04 07:40:00+00:00,0,0,0.0,[]
2020-11-04 07:45:00+00:00,0,0,0.0,[]
2020-11-04 07:50:00+00:00,0,0,0.0,[]
2020-11-04 07:55:00+00:00,0,0,0.0,[]
2020-11-04 08:00:00+00:00,0,0,0.0,[]
2020-11-04 08:05:00+00:00,0,0,0.0,[]
2020-11-04 08:10:00+00:00,0,0,0.0,[]
2020-11-04 08:15:00+00:00,0,0,0.0,[]
2020-11-04 08:20:00+00:00,0,0,0.0,[]
2020-11-04 08:25:00+00:00,0,0,0.0,[]
2020-11-04 08:30:00+00:00,60,0,1.0,[60]
2020-11-04 08:35:00+00:00,0,0,0.0,[]
2020-11-04 08:40:00+00:00,0,0,0.0,[]
2020-11-04 08:45:00+00:00,0,0,0.0,[]
2020-11-04 08:50:00+00:00,0,0,0.0,[]
2020-11-04 08:55:00+00:00,0,0,0.0,[]
2020-11-04 09:00:00+00:00,0,0,0.0,[]
2020-11-04 09:05:00+00:00,0,0,0.0,[]
2020-11-04 09:10:00+00:00,0,0,0.0,[]
2020-11-04 09:15:00+00:00,0,0,0.0,[]
2020-11-04 09:20:00+00:00,0,0,0.0,[]
2020-11-04 09:25:00+00:00,0,0,0.0,[]
2020-11-04 09:30:00+00:00,0,0,0.0,[]
2020-11-04 09:35:00+00:00,0,0,0.0,[]
2020-11-04 09:40:00+00:00,0,0,0.0,[]
2020-11-04 09:45:00+00:00,0,0,0.0,[]
2020-11-04 09:50:00+00:00,0,0,0.0,[]
2020-11-04 09:55:00+00:00,0,0,0.0,[]
2020-11-04 10:00:00+00:00,0,0,0.0,[]
2020-11-04 10:05:00+00:00,0,0,0.0,[]
2020-11-04 10:10:00+00:00,0,0,0.0,[]
2020-11-04 10:15:00+00:00,0,0,0.0,[]
2020-11-04 10:20:00+00:00,0,0,0.0,[]
2020-11-04 10:25:00+00:00,0,0,0.0,[]
2020-11-04 10:30:00+00:00,0,0,0.0,[]
2020-11-04 10:35:00+00:00,0,0,0.0,[]
2020-11-04 10:40:00+00:00,0,0,0.0,[]
2020-11-04 10:45:00+00:00,0,0,0.0,[]
2020-11-04 10:50:00+00:00,0,0,0.0,[]
2020-11-04 10:55:00+00:00,0,0,0.0,[]
2020-11-04 11:00:00+00:00,0,0,0.0,[]
2020-11-04 11:05:00+00:00,0,0,0.0,[]
2020-11-04 11:10:00+00:00,0,0,0.0,[]
2020-11-04 11:15:00+00:00,0,0,0.0,[]
2020-11-04 11:20:00+00:00,0,0,0.0,[]
2020-11-04 11:25:00+00:00,0,0,0.0,[]
2020-11-04 11:30:00+00:00,0,0,0.0,[]
2020-11-04 11:35:00+00:00,0,0,0.0,[]
2020-11-04 11:40:00+00:00,0,0,0.0,[]
2020-11-04 11:45:00+00:00,0,0,0.0,[]
2020-11-04 11:50:00+00:00,0,0,0.0,[]
2020-11-04 11:55:00+00:00,0,0,0.0,[]
2020-11-04 12:00:00+00:00,60,0,1.0,[60]
