created_at,user_followers_count,user_verified,total_tweets,follower_distribution
2020-09-21 13:55:00+00:00,139510,0,6.0,"[116960, 1720, 80, 460, 1820, 18470]"
2020-09-21 14:00:00+00:00,11600,0,10.0,"[200, 340, 40, 300, 2830, 290, 1660, 1920, 1130, 2890]"
2020-09-21 14:05:00+00:00,15310,0,9.0,"[2340, 4100, 1840, 90, 90, 2550, 180, 450, 3670]"
2020-09-21 14:10:00+00:00,45230,0,4.0,"[2850, 18810, 23170, 400]"
2020-09-21 14:15:00+00:00,2860,0,3.0,"[140, 2580, 140]"
2020-09-21 14:20:00+00:00,20990,0,4.0,"[5210, 13330, 750, 1700]"
2020-09-21 14:25:00+00:00,4780,0,3.0,"[450, 1160, 3170]"
2020-09-21 14:30:00+00:00,12750,0,2.0,"[140, 12610]"
2020-09-21 14:35:00+00:00,5950,0,1.0,[5950]
2020-09-21 14:40:00+00:00,0,0,0.0,[]
2020-09-21 14:45:00+00:00,20,0,1.0,[20]
2020-09-21 14:50:00+00:00,0,0,0.0,[]
2020-09-21 14:55:00+00:00,0,0,0.0,[]
2020-09-21 15:00:00+00:00,2830,0,1.0,[2830]
2020-09-21 15:05:00+00:00,1880,0,1.0,[1880]
2020-09-21 15:10:00+00:00,0,0,0.0,[]
2020-09-21 15:15:00+00:00,0,0,0.0,[]
2020-09-21 15:20:00+00:00,0,0,0.0,[]
2020-09-21 15:25:00+00:00,0,0,0.0,[]
2020-09-21 15:30:00+00:00,0,0,0.0,[]
2020-09-21 15:35:00+00:00,0,0,0.0,[]
2020-09-21 15:40:00+00:00,0,0,0.0,[]
2020-09-21 15:45:00+00:00,0,0,0.0,[]
2020-09-21 15:50:00+00:00,0,0,0.0,[]
2020-09-21 15:55:00+00:00,0,0,0.0,[]
2020-09-21 16:00:00+00:00,0,0,0.0,[]
2020-09-21 16:05:00+00:00,0,0,0.0,[]
2020-09-21 16:10:00+00:00,1170,0,1.0,[1170]
2020-09-21 16:15:00+00:00,0,0,0.0,[]
2020-09-21 16:20:00+00:00,0,0,0.0,[]
2020-09-21 16:25:00+00:00,0,0,0.0,[]
2020-09-21 16:30:00+00:00,0,0,0.0,[]
2020-09-21 16:35:00+00:00,0,0,0.0,[]
2020-09-21 16:40:00+00:00,0,0,0.0,[]
2020-09-21 16:45:00+00:00,0,0,0.0,[]
2020-09-21 16:50:00+00:00,0,0,0.0,[]
2020-09-21 16:55:00+00:00,350,0,1.0,[350]
