created_at,user_followers_count,user_verified,total_tweets,follower_distribution
2020-09-25 01:50:00+00:00,83760,0,12.0,"[63680, 5500, 8400, 750, 480, 1350, 950, 310, 1320, 470, 460, 90]"
2020-09-25 01:55:00+00:00,39070,0,18.0,"[5540, 60, 310, 4220, 80, 4750, 5840, 80, 60, 1430, 270, 840, 2110, 80, 1320, 170, 7360, 4550]"
2020-09-25 02:00:00+00:00,26900,0,11.0,"[1120, 18890, 860, 230, 10, 80, 130, 20, 460, 400, 4700]"
2020-09-25 02:05:00+00:00,20760,0,8.0,"[260, 620, 810, 460, 1500, 440, 40]"
2020-09-25 02:10:00+00:00,10730,0,8.0,"[10, 3080, 1720, 330, 1080, 170, 200, 4140]"
2020-09-25 02:15:00+00:00,4010,0,3.0,"[180, 2870, 960]"
2020-09-25 02:20:00+00:00,39880,0,6.0,"[2470, 1630, 360, 710, 150]"
2020-09-25 02:25:00+00:00,430,0,4.0,"[190, 140, 70, 30]"
2020-09-25 02:30:00+00:00,3400,0,2.0,"[3280, 120]"
2020-09-25 02:35:00+00:00,400,0,1.0,[400]
2020-09-25 02:40:00+00:00,6650,0,5.0,"[3680, 1210, 560, 360, 840]"
2020-09-25 02:45:00+00:00,380,0,1.0,[380]
2020-09-25 02:50:00+00:00,6480,0,3.0,"[5210, 990, 280]"
2020-09-25 02:55:00+00:00,60,0,1.0,[60]
2020-09-25 03:00:00+00:00,80,0,1.0,[80]
2020-09-25 03:05:00+00:00,310,0,1.0,[310]
2020-09-25 03:10:00+00:00,300,0,1.0,[300]
2020-09-25 03:15:00+00:00,50,0,1.0,[50]
2020-09-25 03:20:00+00:00,0,0,0.0,[]
2020-09-25 03:25:00+00:00,0,0,0.0,[]
2020-09-25 03:30:00+00:00,12160,0,3.0,"[3130, 420, 8610]"
2020-09-25 03:35:00+00:00,2870,0,1.0,[2870]
2020-09-25 03:40:00+00:00,0,0,0.0,[]
2020-09-25 03:45:00+00:00,390,0,1.0,[390]
2020-09-25 03:50:00+00:00,0,0,0.0,[]
2020-09-25 03:55:00+00:00,50,0,1.0,[50]
2020-09-25 04:00:00+00:00,1680,0,2.0,"[1560, 120]"
2020-09-25 04:05:00+00:00,0,0,0.0,[]
2020-09-25 04:10:00+00:00,2460,0,1.0,[2460]
2020-09-25 04:15:00+00:00,5500,0,2.0,"[410, 5090]"
2020-09-25 04:20:00+00:00,0,0,0.0,[]
2020-09-25 04:25:00+00:00,0,0,0.0,[]
2020-09-25 04:30:00+00:00,0,0,0.0,[]
2020-09-25 04:35:00+00:00,0,0,0.0,[]
2020-09-25 04:40:00+00:00,0,0,0.0,[]
2020-09-25 04:45:00+00:00,0,0,0.0,[]
2020-09-25 04:50:00+00:00,1090,0,1.0,[1090]
2020-09-25 04:55:00+00:00,0,0,0.0,[]
2020-09-25 05:00:00+00:00,0,0,0.0,[]
2020-09-25 05:05:00+00:00,0,0,0.0,[]
2020-09-25 05:10:00+00:00,0,0,0.0,[]
2020-09-25 05:15:00+00:00,0,0,0.0,[]
2020-09-25 05:20:00+00:00,0,0,0.0,[]
2020-09-25 05:25:00+00:00,0,0,0.0,[]
2020-09-25 05:30:00+00:00,14690,0,2.0,[190]
2020-09-25 05:35:00+00:00,6420,0,1.0,[6420]
2020-09-25 05:40:00+00:00,0,0,0.0,[]
2020-09-25 05:45:00+00:00,2560,0,1.0,[2560]
2020-09-25 05:50:00+00:00,0,0,0.0,[]
2020-09-25 05:55:00+00:00,0,0,0.0,[]
2020-09-25 06:00:00+00:00,0,0,0.0,[]
2020-09-25 06:05:00+00:00,1550,0,1.0,[1550]
2020-09-25 06:10:00+00:00,0,0,0.0,[]
2020-09-25 06:15:00+00:00,0,0,0.0,[]
2020-09-25 06:20:00+00:00,0,0,0.0,[]
2020-09-25 06:25:00+00:00,0,0,0.0,[]
2020-09-25 06:30:00+00:00,0,0,0.0,[]
2020-09-25 06:35:00+00:00,0,0,0.0,[]
2020-09-25 06:40:00+00:00,0,0,0.0,[]
2020-09-25 06:45:00+00:00,0,0,0.0,[]
2020-09-25 06:50:00+00:00,0,0,0.0,[]
2020-09-25 06:55:00+00:00,0,0,0.0,[]
2020-09-25 07:00:00+00:00,0,0,0.0,[]
2020-09-25 07:05:00+00:00,0,0,0.0,[]
2020-09-25 07:10:00+00:00,0,0,0.0,[]
2020-09-25 07:15:00+00:00,0,0,0.0,[]
2020-09-25 07:20:00+00:00,0,0,0.0,[]
2020-09-25 07:25:00+00:00,0,0,0.0,[]
2020-09-25 07:30:00+00:00,0,0,0.0,[]
2020-09-25 07:35:00+00:00,0,0,0.0,[]
2020-09-25 07:40:00+00:00,0,0,0.0,[]
2020-09-25 07:45:00+00:00,0,0,0.0,[]
2020-09-25 07:50:00+00:00,0,0,0.0,[]
2020-09-25 07:55:00+00:00,0,0,0.0,[]
2020-09-25 08:00:00+00:00,80,0,1.0,[80]
2020-09-25 08:05:00+00:00,0,0,0.0,[]
2020-09-25 08:10:00+00:00,0,0,0.0,[]
2020-09-25 08:15:00+00:00,0,0,0.0,[]
2020-09-25 08:20:00+00:00,0,0,0.0,[]
2020-09-25 08:25:00+00:00,0,0,0.0,[]
2020-09-25 08:30:00+00:00,0,0,0.0,[]
2020-09-25 08:35:00+00:00,0,0,0.0,[]
2020-09-25 08:40:00+00:00,0,0,0.0,[]
2020-09-25 08:45:00+00:00,0,0,0.0,[]
2020-09-25 08:50:00+00:00,0,0,0.0,[]
2020-09-25 08:55:00+00:00,10,0,1.0,[10]
2020-09-25 09:00:00+00:00,0,0,0.0,[]
