created_at,user_followers_count,user_verified,total_tweets,follower_distribution
2020-10-15 13:40:00+00:00,25960,0,4.0,"[18080, 4220, 1830, 1830]"
2020-10-15 13:45:00+00:00,2210,0,1.0,[2210]
2020-10-15 13:50:00+00:00,495410,0,17.0,"[2210, 3940, 3940, 3660, 3660, 1340, 1340, 1320, 8800, 840, 5000, 4160, 100]"
2020-10-15 13:55:00+00:00,64900,0,24.0,"[70, 70, 160, 6490, 6490, 60, 2700, 2700, 1560, 1560, 90, 90, 1040, 1040, 140, 140, 720, 720, 4230, 4230, 2840, 280]"
2020-10-15 14:00:00+00:00,7400,0,16.0,"[30, 30, 630, 540, 340, 340, 590, 590, 90, 90, 130, 1960, 900, 900, 120, 120]"
2020-10-15 14:05:00+00:00,30780,0,9.0,"[1650, 3940, 3940, 1400, 1400, 7050, 7050, 1870, 2480]"
2020-10-15 14:10:00+00:00,2280,0,1.0,[2280]
2020-10-15 14:15:00+00:00,630,0,3.0,"[230, 200, 200]"
2020-10-15 14:20:00+00:00,13180,0,6.0,"[4700, 4700, 1700, 1700, 190, 190]"
2020-10-15 14:25:00+00:00,17450,0,10.0,"[130, 130, 80, 80, 1040, 190, 7810, 7810, 90, 90]"
2020-10-15 14:30:00+00:00,3960,0,6.0,"[1510, 1510, 340, 340, 130, 130]"
2020-10-15 14:35:00+00:00,12840,0,2.0,"[6420, 6420]"
2020-10-15 14:40:00+00:00,3720,0,5.0,"[1290, 660, 1290, 240, 240]"
2020-10-15 14:45:00+00:00,0,0,0.0,[]
2020-10-15 14:50:00+00:00,170,0,3.0,"[50, 60, 60]"
2020-10-15 14:55:00+00:00,229730,2,7.0,"[114070, 114070, 190, 190, 10, 600, 600]"
2020-10-15 15:00:00+00:00,896700,0,60.0,"[860, 860, 5040, 5040, 3180, 3180, 7660, 140, 7660, 50, 50, 3180, 40, 40, 40, 700, 240, 590, 590, 240, 240, 1470, 1470, 1970, 1480, 70, 1480, 140, 1970, 2890, 2890, 20, 20, 1470, 4510, 4510, 410, 410, 760, 110, 3550, 760, 760, 140, 140, 3550, 1900, 1900, 60, 60, 1900, 240, 3490, 7120]"
2020-10-15 15:05:00+00:00,150470,0,49.0,"[2150, 2150, 2150, 350, 350, 3880, 3880, 20, 250, 250, 30, 70, 70, 40, 1370, 1370, 20, 20, 20, 2180, 20, 20, 320, 320, 1160, 4700, 4110, 4110, 4700, 580, 4810, 4810, 1610, 2970, 2970, 2970, 1610, 5090, 220, 4040, 4040, 580, 5090]"
2020-10-15 15:10:00+00:00,76060,0,27.0,"[1970, 1190, 250, 810, 810, 1190, 1190, 3690, 3690, 1210, 3480, 3480, 3480, 7230, 7230, 7230, 10, 1990, 10, 1990, 4800, 760, 7330, 7330, 360, 360, 2990]"
2020-10-15 15:15:00+00:00,221540,0,25.0,"[7340, 0, 0, 5740, 60, 60, 4070, 4070, 4070, 5680, 4290, 4290, 4290, 1140, 2890, 2890, 3730]"
2020-10-15 15:20:00+00:00,60860,0,16.0,"[3660, 3660, 280, 280, 9270, 9270, 9220, 5730, 9220, 9220, 310, 310, 310, 50, 50, 20]"
2020-10-15 15:25:00+00:00,72940,0,19.0,"[4330, 4330, 3470, 3470, 3470, 150, 320, 320, 220, 220, 3150, 3150, 3150, 1910, 100, 820, 820]"
2020-10-15 15:30:00+00:00,93110,0,6.0,"[7140, 7140, 180]"
2020-10-15 15:35:00+00:00,102490,0,11.0,"[1190, 1190, 5860, 3790, 3790]"
2020-10-15 15:40:00+00:00,117600,0,15.0,"[2160, 2160, 2420, 2420, 1140, 6520, 260, 260, 820, 5490, 5490]"
2020-10-15 15:45:00+00:00,18280,0,4.0,"[6420, 4280, 3790, 3790]"
2020-10-15 15:50:00+00:00,26870,0,6.0,"[300, 300, 3790, 4610, 4610]"
2020-10-15 15:55:00+00:00,36690,0,7.0,"[10, 820, 820, 870, 870]"
2020-10-15 16:00:00+00:00,15280,0,4.0,"[4500, 4500, 4500, 1780]"
2020-10-15 16:05:00+00:00,13100,0,5.0,"[1780, 1840, 1840, 3820, 3820]"
2020-10-15 16:10:00+00:00,11760,0,2.0,"[5880, 5880]"
2020-10-15 16:15:00+00:00,1260,0,2.0,"[230, 1030]"
2020-10-15 16:20:00+00:00,55580,0,8.0,"[2060, 2060, 2150, 2150, 360, 360]"
2020-10-15 16:25:00+00:00,0,0,0.0,[]
2020-10-15 16:30:00+00:00,15330,0,3.0,"[5110, 5110, 5110]"
2020-10-15 16:35:00+00:00,0,0,0.0,[]
2020-10-15 16:40:00+00:00,3480,0,2.0,"[1740, 1740]"
2020-10-15 16:45:00+00:00,0,0,0.0,[]
2020-10-15 16:50:00+00:00,150,0,3.0,"[50, 50, 50]"
2020-10-15 16:55:00+00:00,0,0,0.0,[]
2020-10-15 17:00:00+00:00,0,0,0.0,[]
2020-10-15 17:05:00+00:00,0,0,0.0,[]
2020-10-15 17:10:00+00:00,25080,0,2.0,[]
2020-10-15 17:15:00+00:00,260,0,2.0,"[130, 130]"
2020-10-15 17:20:00+00:00,0,0,0.0,[]
2020-10-15 17:25:00+00:00,0,0,0.0,[]
2020-10-15 17:30:00+00:00,330,0,1.0,[330]
2020-10-15 17:35:00+00:00,0,0,0.0,[]
2020-10-15 17:40:00+00:00,4160,0,2.0,"[2080, 2080]"
2020-10-15 17:45:00+00:00,80,0,2.0,"[40, 40]"
2020-10-15 17:50:00+00:00,0,0,0.0,[]
2020-10-15 17:55:00+00:00,0,0,0.0,[]
2020-10-15 18:00:00+00:00,0,0,0.0,[]
2020-10-15 18:05:00+00:00,0,0,0.0,[]
2020-10-15 18:10:00+00:00,0,0,0.0,[]
2020-10-15 18:15:00+00:00,0,0,0.0,[]
2020-10-15 18:20:00+00:00,0,0,0.0,[]
2020-10-15 18:25:00+00:00,0,0,0.0,[]
2020-10-15 18:30:00+00:00,0,0,0.0,[]
2020-10-15 18:35:00+00:00,0,0,0.0,[]
2020-10-15 18:40:00+00:00,2160,0,2.0,"[1080, 1080]"
2020-10-15 18:45:00+00:00,0,0,0.0,[]
2020-10-15 18:50:00+00:00,0,0,0.0,[]
2020-10-15 18:55:00+00:00,0,0,0.0,[]
2020-10-15 19:00:00+00:00,0,0,2.0,"[0, 0]"
2020-10-15 19:05:00+00:00,0,0,0.0,[]
2020-10-15 19:10:00+00:00,0,0,0.0,[]
2020-10-15 19:15:00+00:00,0,0,0.0,[]
2020-10-15 19:20:00+00:00,0,0,0.0,[]
2020-10-15 19:25:00+00:00,0,0,0.0,[]
2020-10-15 19:30:00+00:00,0,0,0.0,[]
2020-10-15 19:35:00+00:00,0,0,0.0,[]
2020-10-15 19:40:00+00:00,0,0,0.0,[]
2020-10-15 19:45:00+00:00,0,0,0.0,[]
2020-10-15 19:50:00+00:00,0,0,0.0,[]
2020-10-15 19:55:00+00:00,0,0,0.0,[]
