created_at,user_followers_count,user_verified,total_tweets,follower_distribution
2020-10-21 00:00:00+00:00,98340,0,11.0,"[180, 890, 6500, 2250, 0, 230, 10, 4410, 210]"
2020-10-21 00:05:00+00:00,27670,0,7.0,"[2200, 1900, 6400, 2190, 740, 20]"
2020-10-21 00:10:00+00:00,1160,0,2.0,"[580, 580]"
2020-10-21 00:15:00+00:00,31800,0,8.0,"[2280, 6050, 100, 1120, 680, 2280, 2280]"
2020-10-21 00:20:00+00:00,71430,0,11.0,"[110, 1580, 0, 40, 3020, 5410, 790, 4080, 4080, 6090]"
2020-10-21 00:25:00+00:00,540,0,2.0,"[430, 110]"
2020-10-21 00:30:00+00:00,20190,0,6.0,"[3560, 110, 20, 610, 610]"
2020-10-21 00:35:00+00:00,1500,0,3.0,"[160, 160, 1180]"
2020-10-21 00:40:00+00:00,7390,0,7.0,"[400, 90, 140, 2420, 2420, 20, 1900]"
2020-10-21 00:45:00+00:00,1560,0,1.0,[1560]
2020-10-21 00:50:00+00:00,67390,0,6.0,"[4020, 610, 4240]"
2020-10-21 00:55:00+00:00,13230,0,7.0,"[320, 430, 380, 10, 4220, 2050, 5820]"
2020-10-21 01:00:00+00:00,560,0,1.0,[560]
2020-10-21 01:05:00+00:00,0,0,0.0,[]
2020-10-21 01:10:00+00:00,43720,0,5.0,"[2200, 520, 6060, 30]"
2020-10-21 01:15:00+00:00,2010,0,4.0,"[390, 300, 820, 500]"
2020-10-21 01:20:00+00:00,88830,0,8.0,"[50, 40, 880, 880, 930, 450, 4140]"
2020-10-21 01:25:00+00:00,4140,0,2.0,"[100, 4040]"
2020-10-21 01:30:00+00:00,12290,0,3.0,"[5360, 100, 6830]"
2020-10-21 01:35:00+00:00,28100,0,19.0,"[0, 0, 0, 0, 0, 0, 420, 2780, 0, 0, 0, 0, 1000, 1660, 880, 880, 660, 7170]"
2020-10-21 01:40:00+00:00,2680,0,3.0,"[220, 1700, 760]"
2020-10-21 01:45:00+00:00,4980,0,2.0,"[4350, 630]"
2020-10-21 01:50:00+00:00,19730,0,6.0,"[860, 40, 40, 7500, 880]"
2020-10-21 01:55:00+00:00,1750,0,2.0,"[1690, 60]"
2020-10-21 02:00:00+00:00,50,0,1.0,[50]
2020-10-21 02:05:00+00:00,67830,0,9.0,"[5930, 80, 1320, 170, 880, 880]"
2020-10-21 02:10:00+00:00,0,0,0.0,[]
2020-10-21 02:15:00+00:00,5800,0,3.0,"[2150, 3190, 460]"
2020-10-21 02:20:00+00:00,49880,0,4.0,"[240, 3360, 2300]"
2020-10-21 02:25:00+00:00,2450,0,4.0,"[10, 10, 760, 1670]"
2020-10-21 02:30:00+00:00,8870,0,5.0,"[3150, 2040, 360, 2720, 600]"
2020-10-21 02:35:00+00:00,14720,0,3.0,"[420, 9000, 5300]"
