created_at,user_followers_count,user_verified,total_tweets,follower_distribution
2020-09-03 20:35:00+00:00,30,0,1.0,[30]
2020-09-03 20:40:00+00:00,0,0,0.0,[]
2020-09-03 20:45:00+00:00,0,0,0.0,[]
2020-09-03 20:50:00+00:00,0,0,0.0,[]
2020-09-03 20:55:00+00:00,0,0,0.0,[]
2020-09-03 21:00:00+00:00,0,0,0.0,[]
2020-09-03 21:05:00+00:00,1472870,1,30.0,"[585060, 3860, 50, 6750, 2310, 1980, 1580, 70, 6580, 20, 600, 2250, 320, 6140, 250, 1040, 1180, 40, 3880, 99990, 2530, 230, 1760, 110, 740210, 30, 150, 0, 3060, 840]"
2020-09-03 21:10:00+00:00,946400,1,177.0,"[20, 590, 7430, 800, 130, 210, 7540, 14120, 180, 220, 1220, 600, 2470, 860, 3490, 26040, 290, 1990, 2090, 2190, 20, 69730, 8250, 7320, 80, 2780, 13060, 2040, 520, 2640, 30, 20, 1270, 1010, 15600, 6980, 300, 1590, 760, 60, 3690, 50, 40, 1940, 4440, 360, 1390, 820, 360, 4840, 450, 160, 8460, 420, 330, 6920, 140, 260, 45250, 70, 360, 1660, 13370, 271320, 800, 3330, 190, 13100, 300, 1350, 4690, 8960, 5370, 20, 140, 50, 800, 620, 10050, 530, 4510, 13230, 90, 330, 5700, 290, 3280, 4090, 70, 4510, 700, 40, 5760, 60, 600, 4320, 3760, 8490, 380, 6830, 1660, 8560, 300, 120, 380, 1470, 20, 110, 190, 14990, 4910, 270, 1630, 170, 40, 30, 940, 3390, 370, 4760, 40, 25390, 120, 6690, 90, 19520, 10, 990, 110, 140, 40, 480, 0, 470, 5410, 6530, 2570, 70, 520, 700, 7420, 6000, 310, 30, 240, 320, 12020, 340, 150, 170, 34110, 350, 210, 820, 2100, 3130, 980, 330, 470, 8550, 50, 2570, 20, 120, 25780, 10, 900, 5950, 80, 190, 680, 840, 5590, 9740, 370, 9740, 540]"
2020-09-03 21:15:00+00:00,143550,0,88.0,"[760, 10800, 3810, 2320, 940, 870, 6340, 1490, 790, 190, 3180, 510, 220, 110, 3360, 80, 70, 1390, 1720, 1350, 7600, 390, 70, 1100, 670, 50, 8420, 30, 1100, 2180, 4380, 1190, 10, 120, 870, 40, 2120, 1010, 370, 2720, 40, 4630, 2340, 7350, 290, 4600, 2000, 1310, 530, 40, 120, 3770, 9410, 370, 950, 190, 80, 650, 100, 620, 360, 4230, 60, 1520, 80, 10, 1720, 70, 140, 400, 1110, 4910, 540, 1330, 100, 960, 350, 340, 1860, 30, 3070, 540, 1720, 1130, 1890, 680, 260, 10]"
2020-09-03 21:20:00+00:00,143490,0,58.0,"[220, 10, 6340, 3500, 12600, 3630, 1700, 1140, 120, 2320, 370, 70, 120, 2250, 2740, 4820, 3150, 350, 20, 530, 990, 1930, 3940, 2780, 370, 250, 60, 2420, 720, 60, 1520, 1400, 50, 4690, 5940, 300, 50, 1240, 3560, 130, 1100, 10, 770, 3990, 830, 60, 480, 700, 18530, 700, 100, 2180, 19190, 3940, 180, 180, 11750, 400]"
2020-09-03 21:25:00+00:00,93520,0,55.0,"[200, 90, 5140, 70, 2430, 90, 800, 260, 220, 550, 25540, 250, 1080, 240, 40, 3800, 540, 650, 210, 120, 3000, 60, 220, 890, 2060, 2580, 270, 3360, 110, 420, 5170, 2610, 4090, 1740, 1570, 880, 370, 140, 110, 660, 110, 2110, 210, 450, 2050, 10, 60, 940, 20, 2100, 4820, 7380, 310, 100, 220]"
2020-09-03 21:30:00+00:00,90040,0,43.0,"[4920, 60, 610, 300, 4420, 50, 15390, 920, 50, 30, 10, 20, 1340, 400, 6240, 210, 30, 18720, 280, 9540, 6580, 210, 80, 240, 410, 680, 3720, 280, 850, 120, 10, 290, 650, 3140, 2640, 2300, 160, 640, 630, 1780, 310, 220, 560]"
2020-09-03 21:35:00+00:00,220100,0,41.0,"[70, 600, 1090, 4580, 120, 440, 2650, 12360, 2110, 20, 6540, 20, 0, 230, 120, 1650, 4710, 1000, 440, 650, 160, 560, 8320, 10, 1750, 80, 2010, 440, 4090, 430, 129960, 160, 0, 3910, 170, 11430, 6070, 260, 4420, 50, 6420]"
