created_at,user_followers_count,user_verified,total_tweets,follower_distribution
2020-09-19 22:40:00+00:00,28490,0,1.0,[28490]
2020-09-19 22:45:00+00:00,29710,0,4.0,"[4180, 8250, 7160, 10120]"
2020-09-19 22:50:00+00:00,60670,0,7.0,"[2400, 45960, 6450, 1850, 320, 3090, 600]"
2020-09-19 22:55:00+00:00,18170,0,4.0,"[2770, 3590, 1260, 10550]"
2020-09-19 23:00:00+00:00,1620,0,2.0,"[1500, 120]"
2020-09-19 23:05:00+00:00,17550,0,3.0,"[590, 130, 16830]"
2020-09-19 23:10:00+00:00,18160,0,3.0,"[1250, 12360, 4550]"
2020-09-19 23:15:00+00:00,63930,0,9.0,"[4320, 49410, 360, 1190, 1350, 340, 2410, 3800, 750]"
2020-09-19 23:20:00+00:00,53220,0,8.0,"[1820, 9920, 850, 6450, 470, 25860, 2490, 5360]"
2020-09-19 23:25:00+00:00,106560,0,5.0,"[290, 6770, 550, 4620, 94330]"
2020-09-19 23:30:00+00:00,33440,0,11.0,"[340, 1490, 3830, 2010, 490, 6200, 2870, 340, 2610, 5480, 7780]"
2020-09-19 23:35:00+00:00,5550,0,4.0,"[3490, 60, 1780, 220]"
2020-09-19 23:40:00+00:00,46500,0,6.0,"[610, 100, 1120, 30840, 13600, 230]"
2020-09-19 23:45:00+00:00,26870,0,8.0,"[1940, 150, 10380, 2130, 2400, 3970, 3760, 2140]"
2020-09-19 23:50:00+00:00,8000,0,5.0,"[1630, 4010, 80, 2220, 60]"
2020-09-19 23:55:00+00:00,4840,0,3.0,"[80, 80, 4680]"
2020-09-20 00:00:00+00:00,1580,0,2.0,"[600, 980]"
2020-09-20 00:05:00+00:00,13020,0,2.0,"[10710, 2310]"
2020-09-20 00:10:00+00:00,146350,0,9.0,"[350, 2230, 28490, 28490, 28490, 28490, 1850, 16600, 11360]"
2020-09-20 00:15:00+00:00,67400,0,7.0,"[1170, 11260, 13800, 5460, 18960, 5460, 11290]"
2020-09-20 00:20:00+00:00,23410,0,6.0,"[2250, 6150, 2250, 1420, 6480, 4860]"
2020-09-20 00:25:00+00:00,63170,0,9.0,"[12690, 540, 29960, 1240, 3460, 5700, 1990, 7040, 550]"
2020-09-20 00:30:00+00:00,24840,0,6.0,"[7020, 3410, 280, 11650, 900, 1580]"
2020-09-20 00:35:00+00:00,37400,0,7.0,"[780, 4250, 4170, 1100, 25440, 1630, 30]"
2020-09-20 00:40:00+00:00,5250,0,4.0,"[1860, 2050, 720, 620]"
2020-09-20 00:45:00+00:00,13560,0,4.0,"[1540, 3390, 1520, 7110]"
2020-09-20 00:50:00+00:00,25240,0,3.0,"[13480, 810, 10950]"
2020-09-20 00:55:00+00:00,16130,0,4.0,"[560, 2010, 40, 13520]"
2020-09-20 01:00:00+00:00,13540,0,5.0,"[700, 30, 100, 12400, 310]"
2020-09-20 01:05:00+00:00,12870,0,5.0,"[5040, 40, 2580, 4950, 260]"
2020-09-20 01:10:00+00:00,14110,0,6.0,"[5740, 4180, 800, 40, 170, 3180]"
2020-09-20 01:15:00+00:00,13260,0,5.0,"[540, 3180, 3180, 3180, 3180]"
2020-09-20 01:20:00+00:00,9050,0,5.0,"[640, 2740, 4310, 1280, 80]"
2020-09-20 01:25:00+00:00,710,0,1.0,[710]
2020-09-20 01:30:00+00:00,40,0,1.0,[40]
2020-09-20 01:35:00+00:00,15130,0,3.0,"[470, 360, 14300]"
2020-09-20 01:40:00+00:00,7180,0,2.0,"[5830, 1350]"
2020-09-20 01:45:00+00:00,0,0,0.0,[]
2020-09-20 01:50:00+00:00,120,0,1.0,[120]
2020-09-20 01:55:00+00:00,4510,0,1.0,[4510]
2020-09-20 02:00:00+00:00,11880,0,1.0,[11880]
2020-09-20 02:05:00+00:00,0,0,0.0,[]
2020-09-20 02:10:00+00:00,0,0,0.0,[]
2020-09-20 02:15:00+00:00,1230,0,1.0,[1230]
2020-09-20 02:20:00+00:00,220,0,1.0,[220]
2020-09-20 02:25:00+00:00,2160,0,2.0,"[1850, 310]"
2020-09-20 02:30:00+00:00,0,0,0.0,[]
2020-09-20 02:35:00+00:00,200,0,1.0,[200]
2020-09-20 02:40:00+00:00,0,0,0.0,[]
2020-09-20 02:45:00+00:00,0,0,0.0,[]
2020-09-20 02:50:00+00:00,1820,0,2.0,"[910, 910]"
2020-09-20 02:55:00+00:00,0,0,0.0,[]
2020-09-20 03:00:00+00:00,0,0,0.0,[]
2020-09-20 03:05:00+00:00,0,0,0.0,[]
2020-09-20 03:10:00+00:00,0,0,0.0,[]
2020-09-20 03:15:00+00:00,0,0,0.0,[]
2020-09-20 03:20:00+00:00,0,0,0.0,[]
2020-09-20 03:25:00+00:00,0,0,0.0,[]
2020-09-20 03:30:00+00:00,0,0,0.0,[]
2020-09-20 03:35:00+00:00,0,0,0.0,[]
2020-09-20 03:40:00+00:00,0,0,0.0,[]
2020-09-20 03:45:00+00:00,0,0,0.0,[]
2020-09-20 03:50:00+00:00,0,0,0.0,[]
2020-09-20 03:55:00+00:00,0,0,0.0,[]
2020-09-20 04:00:00+00:00,0,0,0.0,[]
2020-09-20 04:05:00+00:00,0,0,0.0,[]
2020-09-20 04:10:00+00:00,0,0,0.0,[]
2020-09-20 04:15:00+00:00,0,0,0.0,[]
2020-09-20 04:20:00+00:00,480,0,1.0,[480]
2020-09-20 04:25:00+00:00,0,0,0.0,[]
2020-09-20 04:30:00+00:00,0,0,0.0,[]
2020-09-20 04:35:00+00:00,0,0,0.0,[]
2020-09-20 04:40:00+00:00,0,0,0.0,[]
