created_at,user_followers_count,user_verified,total_tweets,follower_distribution
2020-11-04 08:40:00+00:00,4260,0,1.0,[4260]
2020-11-04 08:45:00+00:00,0,0,0.0,[]
2020-11-04 08:50:00+00:00,0,0,0.0,[]
2020-11-04 08:55:00+00:00,790,0,1.0,[790]
2020-11-04 09:00:00+00:00,3061340,1,14.0,"[40, 3820, 50, 930, 450, 1840, 5320, 2240, 150, 1880, 110, 300, 310]"
2020-11-04 09:05:00+00:00,18110,0,9.0,"[170, 6500, 90, 3130, 110, 3860, 2740, 450, 1060]"
2020-11-04 09:10:00+00:00,336270,1,5.0,"[326990, 1310, 6090, 1150, 730]"
2020-11-04 09:15:00+00:00,31040,0,6.0,"[20960, 150, 3160, 2820, 790, 3160]"
2020-11-04 09:20:00+00:00,3800,0,4.0,"[30, 1310, 250, 2210]"
2020-11-04 09:25:00+00:00,5480,0,4.0,"[3910, 220, 980, 370]"
2020-11-04 09:30:00+00:00,6540,0,3.0,"[5320, 140, 1080]"
2020-11-04 09:35:00+00:00,7200,0,5.0,"[200, 1350, 3160, 0, 2490]"
2020-11-04 09:40:00+00:00,2380,0,1.0,[2380]
2020-11-04 09:45:00+00:00,0,0,0.0,[]
2020-11-04 09:50:00+00:00,0,0,0.0,[]
2020-11-04 09:55:00+00:00,220,0,2.0,"[220, 0]"
2020-11-04 10:00:00+00:00,0,0,0.0,[]
2020-11-04 10:05:00+00:00,26640,0,1.0,[26640]
2020-11-04 10:10:00+00:00,0,0,0.0,[]
2020-11-04 10:15:00+00:00,0,0,0.0,[]
2020-11-04 10:20:00+00:00,220,0,1.0,[220]
2020-11-04 10:25:00+00:00,130,0,1.0,[130]
2020-11-04 10:30:00+00:00,3840,0,2.0,"[220, 3620]"
2020-11-04 10:35:00+00:00,0,0,0.0,[]
2020-11-04 10:40:00+00:00,0,0,0.0,[]
2020-11-04 10:45:00+00:00,0,0,0.0,[]
2020-11-04 10:50:00+00:00,0,0,0.0,[]
2020-11-04 10:55:00+00:00,0,0,0.0,[]
2020-11-04 11:00:00+00:00,0,0,0.0,[]
2020-11-04 11:05:00+00:00,0,0,0.0,[]
2020-11-04 11:10:00+00:00,2080,0,1.0,[2080]
2020-11-04 11:15:00+00:00,590,0,1.0,[590]
2020-11-04 11:20:00+00:00,0,0,0.0,[]
2020-11-04 11:25:00+00:00,0,0,0.0,[]
