created_at,user_followers_count,user_verified,total_tweets,follower_distribution
2020-10-17 15:05:00+00:00,16650,0,7.0,"[650, 14300, 80, 320, 710, 30, 560]"
2020-10-17 15:10:00+00:00,109810,0,19.0,"[60, 140, 70, 80, 3800, 440, 460, 1960, 320, 1800, 340, 50, 90, 50, 34250, 4920, 40280, 20, 20680]"
2020-10-17 15:15:00+00:00,75420,0,18.0,"[170, 120, 100, 200, 600, 2760, 110, 290, 1190, 10, 11380, 10, 30, 4340, 15130, 180, 260, 38540]"
2020-10-17 15:20:00+00:00,28870,0,13.0,"[840, 13290, 10, 8740, 1330, 660, 100, 1010, 1240, 1000, 190, 410, 50]"
2020-10-17 15:25:00+00:00,9250,0,6.0,"[200, 270, 3370, 0, 5390, 20]"
2020-10-17 15:30:00+00:00,31620,0,8.0,"[470, 800, 740, 4410, 900, 4830, 7660, 11810]"
2020-10-17 15:35:00+00:00,23270,0,13.0,"[5060, 60, 300, 4460, 220, 2840, 1910, 5200, 40, 30, 110, 2060, 980]"
2020-10-17 15:40:00+00:00,28540,0,9.0,"[16420, 190, 120, 50, 450, 3800, 5130, 160, 2220]"
2020-10-17 15:45:00+00:00,160270,0,21.0,"[0, 5880, 137100, 600, 150, 5600, 30, 20, 1900, 1270, 520, 240, 920, 780, 1170, 710, 20, 1010, 540, 1610, 200]"
2020-10-17 15:50:00+00:00,155150,0,25.0,"[5510, 240, 3540, 20, 11120, 10, 810, 25000, 0, 600, 580, 740, 7580, 270, 1030, 33330, 2150, 4480, 180, 790, 55980, 200, 30, 610, 350]"
2020-10-17 15:55:00+00:00,44440,0,21.0,"[1860, 1470, 280, 190, 3060, 4230, 2310, 120, 6540, 180, 130, 520, 140, 70, 460, 580, 16890, 240, 190, 330, 4650]"
2020-10-17 16:00:00+00:00,29190,0,21.0,"[40, 2600, 140, 3390, 60, 5740, 3940, 1370, 290, 260, 250, 1730, 10, 10, 310, 370, 290, 300, 2300, 1040, 4750]"
2020-10-17 16:05:00+00:00,13700,0,8.0,"[9360, 400, 10, 110, 10, 240, 3220, 350]"
2020-10-17 16:10:00+00:00,24970,0,7.0,"[1250, 450, 2710, 13140, 7220, 200, 0]"
2020-10-17 16:15:00+00:00,980,0,7.0,"[10, 180, 90, 30, 580, 30, 60]"
