created_at,user_followers_count,user_verified,total_tweets,follower_distribution
2020-10-30 19:45:00+00:00,41490,0,3.0,"[38410, 430, 2650]"
2020-10-30 19:50:00+00:00,125960,0,19.0,"[10, 1060, 330, 940, 1070, 11090, 3720, 570, 2110, 920, 1090, 540, 38410, 1090, 43730, 1090, 16990, 110, 1090]"
2020-10-30 19:55:00+00:00,181930,0,25.0,"[7020, 1090, 920, 1990, 170, 4550, 16040, 1590, 1090, 1130, 1590, 660, 38410, 2170, 38410, 910, 130, 940, 290, 16390, 8970, 19620, 17390, 430, 30]"
2020-10-30 20:00:00+00:00,73320,0,18.0,"[38410, 1590, 1710, 300, 1710, 460, 5650, 6210, 700, 140, 630, 740, 8840, 1300, 1070, 790, 1850, 1220]"
2020-10-30 20:05:00+00:00,62340,0,17.0,"[9120, 7790, 70, 520, 320, 1600, 9700, 80, 40, 5960, 390, 1590, 1320, 1110, 11010, 11010, 710]"
2020-10-30 20:10:00+00:00,171430,0,22.0,"[1220, 330, 540, 740, 7080, 9820, 7570, 490, 820, 300, 3430, 10240, 4220, 780, 810, 1820, 4960, 40, 3840, 6960, 3120]"
2020-10-30 20:15:00+00:00,15240,0,10.0,"[1800, 1160, 1060, 2930, 90, 290, 540, 2510, 1990, 2870]"
2020-10-30 20:20:00+00:00,11030,0,7.0,"[210, 640, 200, 480, 1750, 470, 7280]"
2020-10-30 20:25:00+00:00,15300,0,4.0,"[13530, 1230, 90, 450]"
2020-10-30 20:30:00+00:00,9420,0,6.0,"[3100, 3100, 1620, 410, 530, 660]"
2020-10-30 20:35:00+00:00,12470,0,6.0,"[3630, 1130, 5140, 1770, 360, 440]"
2020-10-30 20:40:00+00:00,0,0,0.0,[]
2020-10-30 20:45:00+00:00,140,0,1.0,[140]
2020-10-30 20:50:00+00:00,7640,0,1.0,[7640]
2020-10-30 20:55:00+00:00,171700,0,11.0,"[1890, 16730, 38410, 1430, 2210, 2210, 3760, 38410, 38410, 4390, 23850]"
2020-10-30 21:00:00+00:00,42600,0,15.0,"[2380, 120, 4010, 180, 2110, 390, 7770, 4310, 180, 1740, 70, 1570, 3120, 2080, 12570]"
2020-10-30 21:05:00+00:00,53020,0,14.0,"[15520, 480, 4730, 1570, 5080, 170, 860, 11380, 3580, 4020, 2520, 3090, 10, 10]"
2020-10-30 21:10:00+00:00,179270,0,15.0,"[180, 22530, 3140, 8100, 2240, 25660, 260, 340, 2420, 1580, 10670, 290, 5740, 1600]"
2020-10-30 21:15:00+00:00,35930,0,15.0,"[3670, 320, 1060, 9150, 7770, 90, 850, 5960, 490, 1640, 90, 1260, 730, 320, 2530]"
2020-10-30 21:20:00+00:00,3240,0,2.0,"[650, 2590]"
2020-10-30 21:25:00+00:00,10350,0,4.0,"[960, 7010, 140, 2240]"
2020-10-30 21:30:00+00:00,6990,0,1.0,[6990]
2020-10-30 21:35:00+00:00,36970,0,6.0,"[20310, 8110, 870, 240, 2400, 5040]"
