created_at,user_followers_count,user_verified,total_tweets,follower_distribution
2020-10-31 22:20:00+00:00,604390,0,93.0,"[65060, 65060, 2440, 2440, 1420, 1420, 540, 540, 3440, 340, 340, 8310, 8310, 8080, 8080, 930, 930, 180, 40, 4200, 8760, 12650, 40440, 40, 370, 370, 1800, 1800, 450, 450, 1450, 19310, 1780, 19310, 5340, 5340, 2120, 1200, 1200, 60, 180, 180, 4100, 1740, 1740, 7440, 1080, 2510, 1080, 180, 2740, 2740, 17080, 20, 20, 1940, 120, 74280, 74280, 4220, 4220, 210, 20, 20, 290, 350, 3400, 9240, 9240, 580, 410, 2310, 2980, 10270, 16320, 40, 40, 11500, 11500, 2290, 2290, 1820, 1820, 470, 130, 130, 7210, 340, 180, 340, 180, 120, 120]"
2020-10-31 22:25:00+00:00,187230,0,56.0,"[2640, 380, 2640, 380, 100, 250, 250, 5640, 130, 130, 100, 33120, 100, 710, 2350, 2350, 2370, 2370, 790, 790, 60, 350, 350, 70, 19890, 3720, 19890, 3720, 290, 290, 450, 550, 5840, 5840, 2700, 2700, 9730, 9730, 1790, 20, 2900, 4330, 950, 2010, 2010, 950, 950, 180, 720, 150, 10140, 150, 10140, 3640, 1220, 1220]"
2020-10-31 22:30:00+00:00,157820,0,38.0,"[2230, 2230, 7510, 21910, 21910, 340, 230, 230, 1050, 690, 690, 4120, 4120, 1100, 1100, 30, 5320, 3910, 790, 790, 200, 980, 980, 37170, 80, 530, 8340, 530, 530, 7620, 7620, 0, 140, 1480, 3510, 1690, 3060, 3060]"
2020-10-31 22:35:00+00:00,56500,0,31.0,"[420, 420, 4340, 50, 380, 380, 7680, 7680, 60, 3500, 3500, 2130, 2130, 140, 140, 640, 1290, 1290, 470, 1420, 330, 330, 650, 650, 5320, 120, 120, 5390, 5390, 40, 100]"
2020-10-31 22:40:00+00:00,35190,0,16.0,"[10090, 10090, 390, 390, 1710, 90, 90, 110, 110, 670, 230, 230, 3600, 3600, 720, 3070]"
2020-10-31 22:45:00+00:00,22010,0,9.0,"[6030, 6030, 990, 990, 530, 530, 3120, 3120, 670]"
2020-10-31 22:50:00+00:00,32030,0,12.0,"[220, 2150, 230, 1330, 4640, 1840, 1840, 70, 70, 19560, 40, 40]"
2020-10-31 22:55:00+00:00,57730,0,13.0,"[4370, 710, 710, 50, 50, 1060, 1060, 20720, 20720, 230, 20, 20, 8010]"
2020-10-31 23:00:00+00:00,14800,0,6.0,"[870, 6290, 6290, 610, 370, 370]"
2020-10-31 23:05:00+00:00,19210,0,8.0,"[6590, 6590, 420, 420, 1050, 740, 740, 2660]"
2020-10-31 23:10:00+00:00,4450,0,6.0,"[240, 30, 200, 780, 1600, 1600]"
2020-10-31 23:15:00+00:00,620,0,3.0,"[560, 30, 30]"
2020-10-31 23:20:00+00:00,6220,0,6.0,"[120, 3270, 380, 80, 80, 2290]"
2020-10-31 23:25:00+00:00,169440,0,13.0,"[10, 230, 23140, 23140, 3020, 3020, 53800, 53800, 1580, 1580, 1360, 2380, 2380]"
2020-10-31 23:30:00+00:00,13950,0,10.0,"[1640, 1640, 320, 320, 2010, 150, 150, 3340, 3340, 1040]"
