created_at,user_followers_count,user_verified,total_tweets,follower_distribution
2020-11-02 00:55:00+00:00,196680,0,9.0,"[3260, 3260, 3260, 210, 210, 210]"
2020-11-02 01:00:00+00:00,78570,0,33.0,"[7810, 7810, 7810, 7300, 7300, 7300, 160, 160, 160, 1820, 1820, 1820, 250, 480, 250, 480, 250, 480, 430, 430, 430, 50, 50, 50, 7650, 7650, 7650, 140, 140, 140, 100, 100, 100]"
2020-11-02 01:05:00+00:00,56700,0,36.0,"[4280, 4280, 4280, 430, 430, 430, 70, 70, 70, 1320, 1320, 1320, 750, 750, 750, 6480, 6480, 6480, 970, 970, 970, 1250, 1250, 1250, 300, 300, 300, 1220, 1220, 1220, 70, 70, 70, 1760, 1760, 1760]"
2020-11-02 01:10:00+00:00,17220,0,15.0,"[1140, 1140, 1140, 960, 960, 960, 470, 470, 470, 2660, 2660, 2660, 510, 510, 510]"
2020-11-02 01:15:00+00:00,37290,0,36.0,"[20, 20, 20, 1020, 1020, 1020, 1260, 1260, 1260, 2360, 2360, 2360, 4360, 4360, 4360, 1550, 1550, 1550, 600, 600, 600, 460, 460, 460, 20, 20, 20, 260, 260, 260, 130, 130, 130, 390, 390, 390]"
2020-11-02 01:20:00+00:00,13230,0,12.0,"[30, 30, 30, 140, 140, 140, 1780, 1780, 1780, 2460, 2460, 2460]"
2020-11-02 01:25:00+00:00,1770,0,9.0,"[220, 220, 220, 150, 150, 150, 220, 220, 220]"
2020-11-02 01:30:00+00:00,43290,0,12.0,"[590, 590, 590, 560, 560, 560, 6230, 6230, 6230, 7050, 7050, 7050]"
2020-11-02 01:35:00+00:00,41700,0,15.0,"[5040, 5040, 5040, 120, 120, 120, 5200, 5200, 5200, 3250, 3250, 3250, 290, 290, 290]"
2020-11-02 01:40:00+00:00,62010,0,21.0,"[12010, 12010, 12010, 960, 960, 960, 610, 610, 610, 5890, 5890, 5890, 170, 170, 170, 50, 50, 50, 980, 980, 980]"
2020-11-02 01:45:00+00:00,47130,0,15.0,"[630, 630, 630, 4730, 4730, 4730, 430, 430, 430, 380, 380, 380, 9540, 9540, 9540]"
2020-11-02 01:50:00+00:00,16110,0,15.0,"[2690, 2690, 2690, 110, 110, 110, 100, 100, 100, 2430, 2430, 2430, 40, 40, 40]"
2020-11-02 01:55:00+00:00,19110,0,18.0,"[3420, 3420, 3420, 940, 940, 940, 680, 680, 680, 690, 690, 690, 470, 470, 470, 170, 170, 170]"
2020-11-02 02:00:00+00:00,1380,0,3.0,"[460, 460, 460]"
2020-11-02 02:05:00+00:00,8430,0,6.0,"[2610, 2610, 2610, 200, 200, 200]"
2020-11-02 02:10:00+00:00,21390,0,9.0,"[2350, 2350, 2350, 3440, 3440, 3440, 1340, 1340, 1340]"
2020-11-02 02:15:00+00:00,3270,0,3.0,"[1090, 1090, 1090]"
2020-11-02 02:20:00+00:00,3900,0,6.0,"[1080, 1080, 1080, 220, 220, 220]"
2020-11-02 02:25:00+00:00,70260,0,27.0,"[2270, 2270, 2270, 180, 180, 180, 160, 160, 160, 17610, 17610, 17610, 250, 250, 250, 30, 30, 30, 640, 640, 640, 70, 70, 70, 2210, 2210, 2210]"
2020-11-02 02:30:00+00:00,1830,0,12.0,"[440, 440, 440, 60, 60, 60, 20, 20, 20, 90, 90, 90]"
2020-11-02 02:35:00+00:00,0,0,0.0,[]
2020-11-02 02:40:00+00:00,41790,0,15.0,"[640, 640, 640, 200, 200, 200, 4250, 4250, 4250, 4420, 4420, 4420, 4420, 4420, 4420]"
2020-11-02 02:45:00+00:00,270,0,6.0,"[20, 20, 20, 70, 70, 70]"
2020-11-02 02:50:00+00:00,1170,0,9.0,"[70, 70, 70, 100, 100, 100, 220, 220, 220]"
2020-11-02 02:55:00+00:00,3300,0,9.0,"[530, 530, 530, 20, 20, 20, 550, 550, 550]"
2020-11-02 03:00:00+00:00,900,0,6.0,"[40, 40, 40, 260, 260, 260]"
2020-11-02 03:05:00+00:00,58380,0,6.0,"[19330, 19330, 19330, 130, 130, 130]"
2020-11-02 03:10:00+00:00,8220,0,6.0,"[1620, 1620, 1620, 1120, 1120, 1120]"
2020-11-02 03:15:00+00:00,7920,0,9.0,"[290, 290, 290, 70, 70, 70, 2280, 2280, 2280]"
2020-11-02 03:20:00+00:00,90,0,3.0,"[30, 30, 30]"
2020-11-02 03:25:00+00:00,1770,0,3.0,"[590, 590, 590]"
2020-11-02 03:30:00+00:00,1740,0,6.0,"[370, 370, 370, 210, 210, 210]"
2020-11-02 03:35:00+00:00,2430,0,6.0,"[510, 510, 510, 300, 300, 300]"
2020-11-02 03:40:00+00:00,210,0,3.0,"[70, 70, 70]"
2020-11-02 03:45:00+00:00,1320,0,9.0,"[200, 200, 200, 200, 200, 200, 40, 40, 40]"
2020-11-02 03:50:00+00:00,0,0,0.0,[]
2020-11-02 03:55:00+00:00,0,0,0.0,[]
2020-11-02 04:00:00+00:00,5340,0,9.0,"[140, 140, 140, 980, 980, 980, 660, 660, 660]"
2020-11-02 04:05:00+00:00,0,0,0.0,[]
2020-11-02 04:10:00+00:00,0,0,0.0,[]
2020-11-02 04:15:00+00:00,900,0,3.0,"[300, 300, 300]"
2020-11-02 04:20:00+00:00,12480,0,6.0,"[2310, 2310, 2310, 1850, 1850, 1850]"
2020-11-02 04:25:00+00:00,10590,0,3.0,"[3530, 3530, 3530]"
2020-11-02 04:30:00+00:00,960,0,6.0,"[150, 150, 150, 170, 170, 170]"
2020-11-02 04:35:00+00:00,0,0,0.0,[]
2020-11-02 04:40:00+00:00,1110,0,3.0,"[370, 370, 370]"
2020-11-02 04:45:00+00:00,4890,0,9.0,"[70, 70, 70, 230, 230, 230, 1330, 1330, 1330]"
2020-11-02 04:50:00+00:00,660,0,3.0,"[220, 220, 220]"
2020-11-02 04:55:00+00:00,2970,0,3.0,"[990, 990, 990]"
2020-11-02 05:00:00+00:00,2280,0,2.0,"[1140, 1140]"
2020-11-02 05:05:00+00:00,0,0,0.0,[]
2020-11-02 05:10:00+00:00,0,0,0.0,[]
2020-11-02 05:15:00+00:00,0,0,0.0,[]
2020-11-02 05:20:00+00:00,570,0,3.0,"[190, 190, 190]"
2020-11-02 05:25:00+00:00,0,0,0.0,[]
2020-11-02 05:30:00+00:00,0,0,0.0,[]
2020-11-02 05:35:00+00:00,0,0,0.0,[]
2020-11-02 05:40:00+00:00,0,0,0.0,[]
2020-11-02 05:45:00+00:00,0,0,0.0,[]
2020-11-02 05:50:00+00:00,0,0,0.0,[]
2020-11-02 05:55:00+00:00,0,0,0.0,[]
2020-11-02 06:00:00+00:00,0,0,0.0,[]
2020-11-02 06:05:00+00:00,4080,0,3.0,"[1360, 1360, 1360]"
2020-11-02 06:10:00+00:00,0,0,0.0,[]
2020-11-02 06:15:00+00:00,2280,0,3.0,"[760, 760, 760]"
2020-11-02 06:20:00+00:00,0,0,0.0,[]
2020-11-02 06:25:00+00:00,0,0,0.0,[]
2020-11-02 06:30:00+00:00,0,0,0.0,[]
