created_at,user_followers_count,user_verified,total_tweets,follower_distribution
2020-10-20 15:25:00+00:00,8280,0,6.0,"[1380, 1380, 1380, 1380, 1380, 1380]"
2020-10-20 15:30:00+00:00,2760,0,2.0,"[1380, 1380]"
2020-10-20 15:35:00+00:00,0,0,0.0,[]
2020-10-20 15:40:00+00:00,0,0,0.0,[]
2020-10-20 15:45:00+00:00,2760,0,2.0,"[1380, 1380]"
2020-10-20 15:50:00+00:00,2760,0,2.0,"[1380, 1380]"
2020-10-20 15:55:00+00:00,0,0,0.0,[]
2020-10-20 16:00:00+00:00,11600,0,6.0,"[1380, 1380, 780, 780, 3640, 3640]"
2020-10-20 16:05:00+00:00,8640,0,5.0,"[1810, 1810, 1810, 1810, 1400]"
2020-10-20 16:10:00+00:00,34160,0,24.0,"[80, 80, 560, 560, 2240, 2240, 760, 3740, 3740, 1230, 1230, 3740, 3740, 1230, 1230, 2780, 2780, 190, 190, 20, 90, 90, 810, 810]"
2020-10-20 16:15:00+00:00,17920,0,8.0,"[610, 610, 3090, 3090, 2170, 2170, 3090, 3090]"
2020-10-20 16:20:00+00:00,280,0,5.0,"[0, 0, 180, 50, 50]"
2020-10-20 16:25:00+00:00,5300,0,5.0,"[520, 2150, 670, 670, 1290]"
2020-10-20 16:30:00+00:00,35220,0,2.0,"[17610, 17610]"
2020-10-20 16:35:00+00:00,8440,0,2.0,"[4220, 4220]"
2020-10-20 16:40:00+00:00,19260,0,10.0,"[4220, 4220, 4350, 4350, 420, 420, 520, 520, 120, 120]"
2020-10-20 16:45:00+00:00,1240,0,2.0,"[620, 620]"
2020-10-20 16:50:00+00:00,940,0,1.0,[940]
2020-10-20 16:55:00+00:00,26240,0,6.0,"[600, 600, 9410, 9410, 3110, 3110]"
2020-10-20 17:00:00+00:00,52430,0,19.0,"[170, 170, 1960, 450, 450, 120, 120, 140, 140, 2750, 2750, 300, 300, 140, 200, 200, 960, 960]"
2020-10-20 17:05:00+00:00,73600,0,25.0,"[1550, 1550, 220, 220, 220, 220, 560, 560, 7780, 7780, 14820, 14820, 20, 800, 2560, 2560, 2520, 2520, 1260, 1260, 4210, 4210, 630, 630]"
2020-10-20 17:10:00+00:00,29900,0,20.0,"[360, 360, 680, 680, 40, 40, 3110, 3110, 280, 280, 1900, 1900, 2420, 2420, 3700, 3700, 2340, 2340]"
2020-10-20 17:15:00+00:00,4260,0,5.0,"[1880, 1880, 300, 100, 100]"
2020-10-20 17:20:00+00:00,78500,0,22.0,"[7310, 7310, 310, 310, 4810, 4810, 1800, 1800, 9780, 9780, 9780, 9780, 470, 470, 140, 140, 2490, 2490, 1920, 1920, 440, 440]"
2020-10-20 17:25:00+00:00,36520,0,11.0,"[10, 10, 1920, 1920, 10060, 10060, 1840, 1840, 4220, 4220, 420]"
2020-10-20 17:30:00+00:00,8440,0,2.0,"[4220, 4220]"
2020-10-20 17:35:00+00:00,12600,0,4.0,"[50, 50, 6250, 6250]"
2020-10-20 17:40:00+00:00,7180,0,2.0,"[7020, 160]"
2020-10-20 17:45:00+00:00,4070,0,3.0,"[1810, 1810, 450]"
2020-10-20 17:50:00+00:00,2820,0,5.0,"[560, 100, 560, 800, 800]"
2020-10-20 17:55:00+00:00,57050,0,18.0,"[10540, 50, 10540, 10540, 150, 150, 1300, 1300, 940, 940, 940, 940, 2170, 2170, 4990, 4990, 2200, 2200]"
2020-10-20 18:00:00+00:00,60600,0,16.0,"[9190, 9190, 9190, 9190, 590, 590, 2650, 2650, 4990, 4990, 3070, 3070, 310, 310, 310, 310]"
2020-10-20 18:05:00+00:00,47480,0,13.0,"[1300, 11220, 11220, 10960, 10960, 290, 290, 320, 320, 270, 270, 30, 30]"
2020-10-20 18:10:00+00:00,6320,0,6.0,"[1530, 1530, 100, 100, 1530, 1530]"
2020-10-20 18:15:00+00:00,26000,0,10.0,"[1790, 1790, 1790, 1790, 7460, 7460, 810, 810, 1150, 1150]"
