created_at,user_followers_count,user_verified,total_tweets,follower_distribution
2020-09-30 21:35:00+00:00,41130,0,10.0,"[15230, 3800, 740, 500, 2060, 2510, 1240, 160, 10530, 4360]"
2020-09-30 21:40:00+00:00,17890,0,7.0,"[1010, 1050, 1050, 1770, 11010, 1830, 170]"
2020-09-30 21:45:00+00:00,2900,0,3.0,"[1530, 1270, 100]"
2020-09-30 21:50:00+00:00,31100,0,5.0,"[460, 15230, 15230, 90, 90]"
2020-09-30 21:55:00+00:00,73530,0,31.0,"[1270, 1270, 690, 690, 11080, 11080, 2380, 2380, 220, 220, 880, 880, 110, 2460, 2460, 690, 690, 340, 340, 110, 4920, 4920, 110, 1570, 1570, 20, 150, 20, 150, 9930, 9930]"
2020-09-30 22:00:00+00:00,25730,0,32.0,"[60, 2810, 2810, 980, 980, 1720, 1720, 0, 0, 110, 270, 310, 310, 270, 230, 230, 220, 220, 560, 560, 160, 160, 110, 3400, 3400, 1070, 1070, 420, 420, 290, 290, 570]"
2020-09-30 22:05:00+00:00,108540,0,40.0,"[2760, 2760, 6140, 6140, 140, 140, 100, 100, 190, 190, 5100, 5100, 320, 320, 440, 440, 12460, 12460, 1390, 1390, 4170, 4170, 400, 400, 3620, 3620, 1000, 0, 0, 7060, 7060, 460, 30, 30, 40, 40, 3890, 3890]"
2020-09-30 22:10:00+00:00,65520,0,18.0,"[3630, 3630, 18340, 18340, 110, 110, 920, 920, 2880, 2880, 70, 70, 1290, 3120, 1290, 3120, 2400, 2400]"
2020-09-30 22:15:00+00:00,106080,0,31.0,"[2340, 110, 3340, 3340, 260, 260, 870, 870, 2990, 2670, 110, 0, 0, 11410, 11410, 5780, 5780, 22710, 22710, 400, 400, 2580, 2580, 370, 370, 50, 50, 610, 610, 550, 550]"
2020-09-30 22:20:00+00:00,28960,0,16.0,"[1860, 1860, 11590, 11590, 40, 40, 200, 200, 30, 30, 180, 180, 1050, 0, 0, 110]"
2020-09-30 22:25:00+00:00,52260,0,36.0,"[2340, 4600, 250, 250, 0, 0, 140, 140, 150, 1940, 50, 50, 3020, 3020, 1050, 1050, 980, 980, 570, 570, 12120, 12120, 530, 530, 770, 770, 680, 340, 340, 1370, 520, 520, 110, 110, 140, 140]"
2020-09-30 22:30:00+00:00,15630,0,16.0,"[580, 580, 900, 260, 260, 260, 260, 2200, 2200, 480, 480, 3350, 50, 50, 1860, 1860]"
2020-09-30 22:35:00+00:00,33770,0,21.0,"[2550, 1000, 1000, 600, 710, 710, 610, 370, 50, 50, 870, 50, 50, 10, 1460, 80, 140, 20, 90, 90]"
