created_at,user_followers_count,user_verified,total_tweets,follower_distribution
2020-11-04 08:35:00+00:00,484930,0,22.0,"[68530, 220, 6480, 40, 140, 30, 0, 190, 880, 390, 240, 394020, 1690, 130, 20, 150, 80, 270, 70, 0, 120]"
2020-11-04 08:40:00+00:00,87830,0,79.0,"[180, 190, 50, 30, 4370, 18310, 90, 270, 60, 50, 70, 2870, 850, 0, 10, 330, 150, 10, 150, 10, 120, 260, 410, 140, 200, 520, 1400, 70, 130, 10, 30, 1100, 10, 0, 360, 60, 50, 380, 2950, 270, 120, 70, 70, 0, 60, 10, 20, 520, 50, 80, 60, 40, 10, 12350, 1520, 40, 90, 3460, 0, 20, 10, 220, 390, 50, 350, 760, 2900, 1430, 870, 210, 11860, 40, 20, 90, 580, 120, 90]"
2020-11-04 08:45:00+00:00,28490,0,49.0,"[3240, 200, 420, 370, 20, 120, 380, 940, 450, 50, 460, 1510, 150, 510, 660, 150, 220, 5570, 40, 150, 130, 390, 170, 610, 400, 800, 0, 710, 550, 3370, 110, 0, 520, 1040, 10, 110, 20, 10, 190, 30, 460, 20, 1930, 230, 20, 230, 50, 740, 30]"
2020-11-04 08:50:00+00:00,32330,0,26.0,"[24270, 140, 80, 10, 720, 140, 140, 130, 220, 550, 50, 330, 240, 60, 180, 400, 210, 10, 160, 10, 240, 870, 1170, 1020, 700, 280]"
2020-11-04 08:55:00+00:00,44090,0,18.0,"[70, 0, 10, 90, 70, 1330, 130, 70, 10, 40470, 140, 140, 50, 960, 350, 60, 0, 140]"
2020-11-04 09:00:00+00:00,33220,0,15.0,"[100, 5440, 120, 940, 1740, 20, 40, 3850, 2920, 180, 14960, 60, 750, 2080, 20]"
2020-11-04 09:05:00+00:00,28680,0,15.0,"[20, 2530, 170, 3080, 13640, 340, 40, 3510, 770, 3360, 230, 140, 440, 20, 390]"
2020-11-04 09:10:00+00:00,54910,0,19.0,"[0, 10, 150, 560, 670, 50, 630, 40, 1730, 1760, 11070, 36130, 1750, 50, 180, 90, 0, 10, 30]"
2020-11-04 09:15:00+00:00,6260,0,10.0,"[950, 740, 1470, 470, 1660, 90, 710, 90, 40, 40]"
2020-11-04 09:20:00+00:00,15350,0,18.0,"[200, 630, 450, 0, 4100, 90, 100, 320, 360, 10, 10, 2480, 760, 680, 250, 4010, 850, 50]"
2020-11-04 09:25:00+00:00,9590,0,10.0,"[3720, 200, 40, 60, 2240, 90, 2370, 80, 0, 790]"
2020-11-04 09:30:00+00:00,3940,0,4.0,"[110, 740, 3080, 10]"
2020-11-04 09:35:00+00:00,5960,0,8.0,"[10, 240, 1180, 140, 370, 3830, 170, 20]"
2020-11-04 09:40:00+00:00,1120,0,9.0,"[20, 50, 210, 130, 420, 190, 40, 60, 0]"
2020-11-04 09:45:00+00:00,64700,0,16.0,"[750, 8460, 450, 2950, 320, 280, 420, 10, 50, 1940, 10, 630, 350, 370, 120]"
2020-11-04 09:50:00+00:00,10020,0,8.0,"[380, 550, 160, 3740, 2170, 240, 310, 2470]"
2020-11-04 09:55:00+00:00,19800,0,9.0,"[130, 320, 120, 12430, 1140, 3500, 370, 410, 1380]"
2020-11-04 10:00:00+00:00,640,0,5.0,"[50, 10, 10, 550, 20]"
2020-11-04 10:05:00+00:00,10840,0,8.0,"[4900, 1010, 1600, 690, 370, 1910, 300, 60]"
2020-11-04 10:10:00+00:00,530,0,4.0,"[240, 50, 80, 160]"
2020-11-04 10:15:00+00:00,2150,0,6.0,"[70, 500, 1080, 210, 230, 60]"
2020-11-04 10:20:00+00:00,9140,0,5.0,"[120, 80, 590, 170, 8180]"
2020-11-04 10:25:00+00:00,13120,0,9.0,"[1380, 20, 4470, 0, 290, 1300, 1840, 2130, 1690]"
2020-11-04 10:30:00+00:00,240,0,3.0,"[0, 160, 80]"
