created_at,user_followers_count,user_verified,total_tweets,follower_distribution
2020-10-19 01:10:00+00:00,81520,0,12.0,"[600, 600, 360, 360, 90, 90, 2260, 2260, 60, 60]"
2020-10-19 01:15:00+00:00,92640,0,18.0,"[4890, 4890, 12450, 12450, 2400, 2400, 1330, 1330, 2150, 2150, 13320, 13320, 8100, 8100, 70, 70, 1610, 1610]"
2020-10-19 01:20:00+00:00,53620,0,12.0,"[10310, 10310, 5560, 5560, 3780, 3780, 1590, 1590, 2790, 2790, 2780, 2780]"
2020-10-19 01:25:00+00:00,86520,0,18.0,"[1070, 1070, 2220, 2220, 2230, 2230, 6560, 6560, 4160, 4160, 2620, 1900, 2620, 1900, 360, 360]"
2020-10-19 01:30:00+00:00,44860,0,12.0,"[600, 600, 9260, 9260, 6210, 6210, 1250, 1250, 2410, 2410, 2700, 2700]"
2020-10-19 01:35:00+00:00,15080,0,8.0,"[300, 300, 2140, 2140, 850, 850, 4250, 4250]"
2020-10-19 01:40:00+00:00,15980,0,6.0,"[310, 310, 2680, 2680, 5000, 5000]"
2020-10-19 01:45:00+00:00,45860,0,10.0,"[920, 920, 5520, 5520, 12990, 12990, 340, 340, 3160, 3160]"
2020-10-19 01:50:00+00:00,14160,0,10.0,"[630, 630, 550, 550, 500, 500, 4960, 4960, 440, 440]"
2020-10-19 01:55:00+00:00,3680,0,4.0,"[1570, 1570, 270, 270]"
2020-10-19 02:00:00+00:00,4580,0,2.0,"[2290, 2290]"
2020-10-19 02:05:00+00:00,8600,0,2.0,"[4300, 4300]"
2020-10-19 02:10:00+00:00,7800,0,8.0,"[170, 170, 160, 160, 1350, 1350, 2220, 2220]"
2020-10-19 02:15:00+00:00,132320,0,7.0,"[3200, 3200, 6860, 6860]"
2020-10-19 02:20:00+00:00,100170,0,16.0,"[260, 260, 3560, 3560, 3560, 22440, 22440, 22440, 4440, 4440, 4440, 3310, 3310, 570, 570, 570]"
2020-10-19 02:25:00+00:00,34680,0,30.0,"[880, 880, 260, 260, 260, 620, 620, 620, 500, 500, 530, 530, 530, 240, 240, 240, 670, 670, 670, 4320, 4320, 3970, 3970, 3970, 940, 940, 940, 530, 530, 530]"
2020-10-19 02:30:00+00:00,101700,0,17.0,"[11240, 11240, 11240, 690, 690, 6810, 6810, 6810, 70, 70, 70, 3900, 3900, 3900, 11420, 11420, 11420]"
2020-10-19 02:35:00+00:00,4110,0,9.0,"[170, 170, 170, 130, 130, 510, 510, 1160, 1160]"
2020-10-19 02:40:00+00:00,162240,0,22.0,"[90, 90, 90, 1990, 1990, 1990, 200, 200, 5200, 5200, 5200, 1930, 1930, 6650, 6650, 6650, 1330, 1330, 1330]"
2020-10-19 02:45:00+00:00,117040,0,40.0,"[15360, 15360, 15360, 3370, 3370, 1640, 1640, 1640, 2490, 2490, 880, 880, 880, 2410, 2410, 2410, 1490, 1490, 1490, 660, 660, 660, 510, 510, 510, 450, 450, 450, 10440, 10440, 3180, 3180, 3180, 890, 890, 890, 890, 380, 380, 380]"
